"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2003","AQS","060370002","1","12.1","ug/m3 LC","57","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/02/2003","AQS","060370002","1","3.4","ug/m3 LC","19","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/03/2003","AQS","060370002","1","4.1","ug/m3 LC","23","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/04/2003","AQS","060370002","1","4.7","ug/m3 LC","26","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/05/2003","AQS","060370002","1","3.5","ug/m3 LC","19","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/06/2003","AQS","060370002","1","6.4","ug/m3 LC","36","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/07/2003","AQS","060370002","1","7.5","ug/m3 LC","42","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/08/2003","AQS","060370002","1","11.5","ug/m3 LC","55","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/09/2003","AQS","060370002","1","12.1","ug/m3 LC","57","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/10/2003","AQS","060370002","1","27.3","ug/m3 LC","85","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","120","Andersen RAAS2.5-300 PM2.5 SEQ w/WINS","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
