"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2024","104","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","37","38","104","30"
"01/02/2024","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","34","30","68","46"
"01/03/2024","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","41","26","61","42"
"01/04/2024","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","39","23","56","43"
"01/05/2024","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","31","31","69","41"
"01/06/2024","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","36","26","70","35"
"01/07/2024","45","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","36","15","45","22"
"01/08/2024","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","35","32","57","43"
"01/09/2024","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","37","37","70","45"
"01/10/2024","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","37","39","67","45"
"01/11/2024","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","39","42","52","40"
"01/12/2024","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","38","31","66","44"
"01/13/2024","80","PM2.5","Compton","06-037-1302","AQS","22","40","31","80","37"
"01/14/2024","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","43","35","84","35"
"01/15/2024","93","PM2.5","Compton","06-037-1302","AQS","17","40","41","93","46"
"01/16/2024","95","PM2.5","Compton","06-037-1302","AQS","24","36","45","95","54"
"01/17/2024","86","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","35","35","86","38"
"01/18/2024","75","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","33","31","75","43"
"01/19/2024","75","PM2.5","Compton","06-037-1302","AQS","20","30","31","75","41"
"01/20/2024","62","PM2.5","Reseda","06-037-1201","AQS","8","31","19","62","39"
"01/21/2024","51","PM2.5","Reseda","06-037-1201","AQS","5","39","11","51","25"
"01/22/2024","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","34","8","52","44"
"01/23/2024","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","36","26","61","32"
"01/24/2024","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","34","23","58","42"
"01/25/2024","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","37","20","54","29"
"01/26/2024","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","40","31","66","42"
"01/27/2024","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","41","32","70","42"
"01/28/2024","73","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","40","33","73","40"
"01/29/2024","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","43","49","64","55"
"01/30/2024","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","42","40","68","60"
"01/31/2024","66","PM2.5","Compton","06-037-1302","AQS","18","47","24","66","43"
