"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","71","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","37","6","71","37"
"01/02/2019","93","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","36","15","93","68"
"01/03/2019","71","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","33","44","71","64"
"01/04/2019","87","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","26","25","87","61"
"01/05/2019","85","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","35","17","85","44"
"01/06/2019","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","39","5","58","33"
"01/07/2019","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","32","6","57","53"
"01/08/2019","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","30","11","66","53"
"01/09/2019","77","PM2.5","Compton","06-037-1302","AQS","25","30","35","77","48"
"01/10/2019","71","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","35","19","71","47"
"01/11/2019","92","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","28","24","92","35"
"01/12/2019","57","PM2.5","Long Beach (North)","06-037-4002","AQS","15","33","6","57","36"
"01/13/2019","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","35","4","70","45"
"01/14/2019","58","PM2.5","Reseda","06-037-1201","AQS","16","31","3","58","43"
"01/15/2019","55","PM2.5","Reseda","06-037-1201","AQS","9","37","8","55","42"
"01/16/2019","38","NO2","LAX Hastings","06-037-5005","AQS","5","31","3","33","38"
"01/17/2019","44","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","31","3","36","44"
"01/18/2019","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","36","13","62","43"
"01/19/2019","58","PM2.5","Long Beach (South)","06-037-4004","AQS","14","37","11","58","38"
"01/20/2019","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","36","6","54","29"
"01/21/2019","40","Ozone","Azusa","06-037-0002","AQS","5","40","34","30","39"
"01/22/2019","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","39","9","57","71"
"01/23/2019","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","34","17","65","63"
"01/24/2019","76","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","38","13","69","76"
"01/25/2019","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","41","15","60","62"
"01/26/2019","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","44","11","66","57"
"01/27/2019","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","33","44","40","84","50"
"01/28/2019","106","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","30","19","106","77"
"01/29/2019","95","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","31","95","67"
"01/30/2019","75","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","36","31","75","40"
"01/31/2019","70","PM2.5","Glendora","06-037-0016","AQS","9","31","22","70","29"
"02/01/2019","52","PM2.5","Reseda","06-037-1201","AQS","14","32","10","52","37"
"02/02/2019","41","PM2.5","Glendora","06-037-0016","AQS","6","41","12","41","26"
"02/03/2019","44","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","41","0","44","25"
"02/04/2019","42","Ozone","LAX Hastings","06-037-5005","AQS","6","42","1","32","40"
"02/05/2019","46","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","41","0","35","46"
"02/06/2019","52","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","39","3","37","52"
"02/07/2019","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","37","11","61","49"
"02/08/2019","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","44","22","64","56"
"02/09/2019","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","42","6","62","40"
"02/10/2019","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","42","3","52","30"
"02/11/2019","57","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","40","8","51","57"
"02/12/2019","60","PM2.5","Reseda","06-037-1201","AQS","16","34","16","60","50"
"02/13/2019","53","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","36","13","53","42"
"02/14/2019","51","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","43","12","51","44"
"02/15/2019","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","42","6","52","36"
"02/16/2019","41","Ozone","Reseda","06-037-1201","AQS","5","41","4","32","28"
"02/17/2019","44","Ozone","LAX Hastings","06-037-5005","AQS","5","44","4","36","22"
"02/18/2019","44","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","40","2","31","44"
"02/19/2019","54","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","44","6","52","54"
"02/20/2019","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","40","34","56","40"
"02/21/2019","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","38","2","58","52"
"02/22/2019","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","43","6","61","45"
"02/23/2019","58","PM2.5","Reseda","06-037-1201","AQS","13","46","9","58","37"
"02/24/2019","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","49","8","68","37"
"02/25/2019","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","45","19","65","48"
"02/26/2019","70","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","43","37","70","43"
"02/27/2019","63","PM2.5","Glendora","06-037-0016","AQS","7","43","19","63","38"
"02/28/2019","62","PM2.5","Glendora","06-037-0016","AQS","6","36","15","62","29"
"03/01/2019","63","PM2.5","Glendora","06-037-0016","AQS","6","37","17","63","30"
"03/02/2019","52","PM2.5","Glendora","06-037-0016","AQS","6","36","6","52","31"
"03/03/2019","39","PM2.5","Glendora","06-037-0016","AQS","3","37","3","39","14"
"03/04/2019","42","PM2.5","Glendora","06-037-0016","AQS","6","37","16","42","42"
"03/05/2019","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","35","14","64","41"
"03/06/2019","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","37","3","54","37"
"03/07/2019","43","PM2.5","Glendora","06-037-0016","AQS","6","42","6","43","43"
"03/08/2019","44","Ozone","Reseda","06-037-1201","AQS","7","44","7","38","43"
"03/09/2019","51","PM2.5","Reseda","06-037-1201","AQS","6","44","7","51","25"
"03/10/2019","57","PM2.5","Reseda","06-037-1201","AQS","10","43","11","57","33"
"03/11/2019","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","43","7","57","45"
"03/12/2019","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","44","11","56","37"
"03/13/2019","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","47","9","59","43"
"03/14/2019","55","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","48","10","55","48"
"03/15/2019","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","49","9","54","52"
"03/16/2019","61","Ozone","Azusa","06-037-0002","AQS","17","61","31","59","52"
