"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","190","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","40","44","42","190","56"
"01/02/2018","152","PM2.5","Pico Rivera #2","06-037-1602","AQS","24","36","62","152","67"
"01/03/2018","110","PM2.5","Long Beach (South)","06-037-4004","AQS","27","28","35","110","84"
"01/04/2018","87","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","29","32","87","62"
"01/05/2018","73","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","31","21","73","56"
"01/06/2018","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","35","31","67","38"
"01/07/2018","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","35","30","93","37"
"01/08/2018","70","PM2.5","Pico Rivera #2","06-037-1602","AQS","11","24","25","70","42"
"01/09/2018","56","PM2.5","Reseda","06-037-1201","AQS","10","39","6","56","43"
"01/10/2018","68","PM2.5","Reseda","06-037-1201","AQS","13","32","17","68","37"
"01/11/2018","85","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","31","27","85","48"
"01/12/2018","112","PM2.5","Long Beach (South)","06-037-4004","AQS","26","36","19","112","62"
"01/13/2018","60","PM2.5","Long Beach (South)","06-037-4004","AQS","22","42","17","60","45"
"01/14/2018","56","PM2.5","Compton","06-037-1302","AQS","17","41","25","56","47"
"01/15/2018","83","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","40","24","83","62"
"01/16/2018","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","37","35","93","68"
"01/17/2018","93","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","35","21","93","71"
"01/18/2018","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","37","27","84","57"
"01/19/2018","72","PM2.5","Reseda","06-037-1201","AQS","11","37","30","72","38"
"01/20/2018","51","PM2.5","Reseda","06-037-1201","AQS","6","40","39","51","27"
"01/21/2018","61","PM2.5","Long Beach (South)","06-037-4004","AQS","13","36","8","61","40"
"01/22/2018","64","PM2.5","Long Beach (South)","06-037-4004","AQS","19","39","18","64","43"
"01/23/2018","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","36","17","61","49"
"01/24/2018","55","PM2.5","Reseda","06-037-1201","AQS","16","41","26","55","48"
"01/25/2018","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","39","18","59","41"
"01/26/2018","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","40","30","61","41"
"01/27/2018","69","PM2.5","Long Beach (South)","06-037-4004","AQS","23","42","18","69","47"
"01/28/2018","72","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","30","42","14","72","45"
"01/29/2018","68","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","31","35","18","65","68"
"01/30/2018","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","31","32","58","56"
"01/31/2018","78","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","30","26","72","78"
"02/01/2018","101","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","28","40","56","101","88"
"02/02/2018","95","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","42","25","95","85"
"02/03/2018","109","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","32","54","29","109","89"
"02/04/2018","98","PM2.5","Compton","06-037-1302","AQS","20","74","20","98","54"
"02/05/2018","89","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","47","26","89","47"
"02/06/2018","109","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","43","35","109","50"
"02/07/2018","82","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","42","44","82","64"
"02/08/2018","81","NO2","Long Beach (Hudson)","06-037-4006","AQS","25","42","28","78","81"
"02/09/2018","73","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","46","29","73","46"
"02/10/2018","89","PM2.5","Reseda","06-037-1201","AQS","9","44","42","89","33"
"02/11/2018","76","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","47","64","76","32"
"02/12/2018","57","PM2.5","Reseda","06-037-1201","AQS","6","42","31","57","33"
"02/13/2018","56","PM2.5","Reseda","06-037-1201","AQS","6","41","16","56","41"
"02/14/2018","60","PM2.5","Reseda","06-037-1201","AQS","13","41","16","60","51"
"02/15/2018","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","44","16","61","51"
"02/16/2018","58","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","44","18","55","58"
"02/17/2018","60","PM2.5","Long Beach (South)","06-037-4004","AQS","16","50","19","60","42"
"02/18/2018","61","PM2.5","Reseda","06-037-1201","AQS","17","54","15","61","34"
"02/19/2018","65","PM10","Long Beach (Hudson)","06-037-4006","AQS","5","43","65","58","26"
"02/20/2018","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","39","17","57","51"
"02/21/2018","54","PM2.5","Reseda","06-037-1201","AQS","10","44","15","54","50"
"02/22/2018","65","PM2.5","Reseda","06-037-1201","AQS","14","43","15","65","42"
"02/23/2018","53","PM2.5","Reseda","06-037-1201","AQS","6","45","9","53","37"
"02/24/2018","56","PM2.5","Long Beach (South)","06-037-4004","AQS","10","46","14","56","42"
"02/25/2018","55","PM2.5","Compton","06-037-1302","AQS","14","47","21","55","40"
"02/26/2018","58","PM2.5","Reseda","06-037-1201","AQS","23","44","12","58","56"
"02/27/2018","53","PM2.5","Reseda","06-037-1201","AQS","8","43","6","53","47"
"02/28/2018","64","PM2.5","Reseda","06-037-1201","AQS","14","40","12","64","47"
"03/01/2018","63","PM2.5","Reseda","06-037-1201","AQS","13","44","17","63","41"
"03/02/2018","56","PM2.5","Reseda","06-037-1201","AQS","6","39","9","56","32"
"03/03/2018","55","PM2.5","Reseda","06-037-1201","AQS","7","44","12","55","31"
"03/04/2018","62","PM2.5","Reseda","06-037-1201","AQS","13","43","7","62","33"
"03/05/2018","51","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","45","7","46","51"
"03/06/2018","60","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","47","10","45","60"
"03/07/2018","61","PM2.5","Long Beach (South)","06-037-4004","AQS","16","37","21","61","61"
"03/08/2018","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","44","24","67","60"
"03/09/2018","71","PM2.5","Reseda","06-037-1201","AQS","10","39","26","71","44"
"03/10/2018","78","PM2.5","Reseda","06-037-1201","AQS","5","27","22","78","25"
"03/11/2018","58","PM2.5","Reseda","06-037-1201","AQS","5","34","9","58","26"
"03/12/2018","66","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","41","25","66","31"
"03/13/2018","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","31","24","65","33"
"03/14/2018","51","PM2.5","Reseda","06-037-1201","AQS","3","41","7","51","27"
"03/15/2018","45","Ozone","Reseda","06-037-1201","AQS","5","45","19","42","26"
"03/16/2018","53","PM2.5","Reseda","06-037-1201","AQS","6","39","12","53","31"
"03/17/2018","51","PM2.5","Reseda","06-037-1201","AQS","3","43","7","51","22"
"03/18/2018","58","PM2.5","Reseda","06-037-1201","AQS","7","44","11","58","25"
"03/19/2018","58","PM2.5","Reseda","06-037-1201","AQS","14","46","11","58","49"
"03/20/2018","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","42","22","61","43"
"03/21/2018","64","PM2.5","Reseda","06-037-1201","AQS","9","32","17","64","48"
"03/22/2018","62","PM2.5","Reseda","06-037-1201","AQS","9","35","10","62","29"
"03/23/2018","57","PM2.5","Reseda","06-037-1201","AQS","5","45","11","57","33"
"03/24/2018","59","PM2.5","Reseda","06-037-1201","AQS","6","46","16","59","25"
"03/25/2018","55","PM2.5","Reseda","06-037-1201","AQS","3","49","14","55","22"
"03/26/2018","50","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","46","14","50","41"
"03/27/2018","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","47","30","52","42"
"03/28/2018","62","PM2.5","Reseda","06-037-1201","AQS","11","45","20","62","41"
"03/29/2018","84","Ozone","Reseda","06-037-1201","AQS","11","84","31","81","50"
"03/30/2018","105","Ozone","Reseda","06-037-1201","AQS","9","105","37","83","41"
"03/31/2018","91","PM2.5","Long Beach (South)","06-037-4004","AQS","9","90","33","91","43"
"04/01/2018","85","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","5","61","33","85","17"
"04/02/2018","76","PM2.5","Reseda","06-037-1201","AQS","11","58","23","76","31"
"04/03/2018","70","PM2.5","Reseda","06-037-1201","AQS","5","61","35","70","36"
