"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2004","155","PM2.5","Long Beach (North)","06-037-4002","AQS","50","35","9","155","49"
"01/02/2004","91","PM2.5","Long Beach (North)","06-037-4002","AQS","33","31","5","91","45"
"01/03/2004","44","PM2.5","Azusa","06-037-0002","AQS","20","37","6","44","38"
"01/04/2004","66","PM2.5","Lynwood","06-037-1301","AQS","32","35","22","66","43"
"01/05/2004","58","PM2.5","Long Beach (South)","06-037-4004","AQS","35","40","11","58","49"
"01/06/2004","66","PM2.5","Long Beach (North)","06-037-4002","AQS","36","29","25","66","58"
"01/07/2004","99","PM2.5","Burbank","06-037-1002","AQS","49","22","26","99","93"
"01/08/2004","115","PM2.5","Long Beach (North)","06-037-4002","AQS","57","20","26","115","101"
"01/09/2004","103","PM2.5","Long Beach (North)","06-037-4002","AQS","54","26","34","103","88"
"01/10/2004","74","PM2.5","Lynwood","06-037-1301","AQS","53","33","38","74","61"
"01/11/2004","89","PM2.5","Long Beach (South)","06-037-4004","AQS","59","34","18","89","63"
"01/12/2004","136","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","35","28","26","136","83"
"01/13/2004","98","PM2.5","Long Beach (South)","06-037-4004","AQS","48","30","52","98","87"
"01/14/2004","68","NO2","Burbank","06-037-1002","AQS","49","33","31","65","68"
"01/15/2004","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","57","37","22","72","64"
"01/16/2004","104","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","37","47","104","63"
"01/17/2004","135","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","40","22","135","60"
"01/18/2004","154","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","32","38","29","154","58"
"01/19/2004","148","PM2.5","Azusa","06-037-0002","AQS","33","45","20","148","90"
"01/20/2004","123","PM2.5","Azusa","06-037-0002","AQS","28","32","13","123","63"
"01/21/2004","76","PM2.5","Long Beach (North)","06-037-4002","AQS","43","48","13","76","54"
"01/22/2004","109","PM2.5","Long Beach (South)","06-037-4004","AQS","48","44","54","109","63"
"01/23/2004","126","PM2.5","Long Beach (North)","06-037-4002","AQS","48","32","37","126","79"
"01/24/2004","69","PM2.5","Long Beach (North)","06-037-4002","AQS","34","36","19","69","49"
"01/25/2004","71","PM2.5","Burbank","06-037-1002","AQS","23","37","9","71","42"
"01/26/2004","73","PM2.5","Long Beach (North)","06-037-4002","AQS","28","34","21","73","47"
"01/27/2004","84","PM2.5","Azusa","06-037-0002","AQS","36","33","15","84","61"
"01/28/2004","104","PM2.5","Azusa","06-037-0002","AQS","22","36","44","104","54"
"01/29/2004","105","PM2.5","Long Beach (North)","06-037-4002","AQS","44","27","19","105","72"
"01/30/2004","104","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","57","36","24","104","81"
"01/31/2004","62","PM2.5","Azusa","06-037-0002","AQS","17","43","11","62","42"
"02/01/2004","69","PM2.5","Long Beach (North)","06-037-4002","AQS","20","43","17","69","48"
"02/02/2004","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","35","29","72","52"
"02/03/2004","51","PM2.5","Burbank","06-037-1002","AQS","27","36","36","51","49"
"02/04/2004","53","PM2.5","Long Beach (South)","06-037-4004","AQS","27","37","6","53","41"
"02/05/2004","66","PM2.5","Long Beach (South)","06-037-4004","AQS","34","41","9","66","62"
"02/06/2004","66","PM2.5","Lynwood","06-037-1301","AQS","42","42","18","66","55"
"02/07/2004","68","PM2.5","Long Beach (South)","06-037-4004","AQS","41","41","12","68","52"
"02/08/2004","54","PM2.5","Long Beach (North)","06-037-4002","AQS","36","43","10","54","44"
"02/09/2004","60","PM2.5","Lynwood","06-037-1301","AQS","36","43","35","60","54"
"02/10/2004","81","NO2","Lynwood","06-037-1301","AQS","71","43","9","57","81"
"02/11/2004","71","PM2.5","Long Beach (South)","06-037-4004","AQS","44","41","15","71","66"
"02/12/2004","74","PM2.5","Lynwood","06-037-1301","AQS","44","46",".","74","64"
"02/13/2004","61","PM2.5","Long Beach (South)","06-037-4004","AQS","40","34",".","61","61"
"02/14/2004","74","PM2.5","Long Beach (North)","06-037-4002","AQS","40","42",".","74","62"
"02/15/2004","85","PM2.5","Burbank","06-037-1002","AQS","26","40","44","85","52"
"02/16/2004","115","PM2.5","Azusa","06-037-0002","AQS","20","37",".","115","68"
