"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/22/2005","154","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","34","38","69","154","99"
"01/23/2005","106","PM2.5","Long Beach (South)","06-037-4004","AQS","41","41","14","106","64"
"01/24/2005","119","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","24","32","20","119","76"
"01/25/2005","99","PM2.5","","06-037-1601","AQS","22","31","22","99","53"
"01/26/2005","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","35","11","63","39"
"01/27/2005","48","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","36","10","48","45"
"01/28/2005","57","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","32","20","57","36"
"01/29/2005","40","Ozone","Reseda","06-037-1201","AQS","17","40","6","27","33"
"01/30/2005","61","PM2.5","Long Beach (South)","06-037-4004","AQS","35","40","10","61","44"
"01/31/2005","66","PM2.5","Long Beach (South)","06-037-4004","AQS","49","39","13","66","51"
"02/01/2005","65","CO","Lynwood","06-037-1301","AQS","65","44","20","60","61"
"02/02/2005","61","NO2","","06-037-1601","AQS","45","44","18","57","61"
"02/03/2005","65","NO2","LAX Hastings","06-037-5005","AQS","44","43","49","63","65"
"02/04/2005","60","PM2.5","Long Beach (North)","06-037-4002","AQS","44","42","15","60","58"
"02/05/2005","76","NO2","Lynwood","06-037-1301","AQS","36","33","14","71","76"
"02/06/2005","68","PM2.5","Reseda","06-037-1201","AQS","25","38","14","68","43"
"02/07/2005","64","PM2.5","Long Beach (North)","06-037-4002","AQS","17","37","17","64","42"
"02/08/2005","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","41","14","69","55"
"02/09/2005","77","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","33","40","41","77","57"
"02/10/2005","53","PM2.5","Long Beach (South)","06-037-4004","AQS","27","35","14","53","49"
"02/11/2005","34","NO2","Pomona","06-037-1701","AQS","10","31","4","28","34"
"02/12/2005","48","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","36","9","48","41"
"02/13/2005","61","PM2.5","Azusa","06-037-0002","AQS","14","39","9","61","41"
"02/14/2005","49","PM2.5","Azusa","06-037-0002","AQS","18","38","11","49","42"
"02/15/2005","66","PM2.5","Lancaster-Division Street","06-037-9033","AQS","26","31","24","66","48"
"02/16/2005","86","PM2.5","Lancaster-Division Street","06-037-9033","AQS","18","27","18","86","51"
"02/17/2005","57","PM2.5","Long Beach (North)","06-037-4002","AQS","19","22","10","57","39"
"02/18/2005","46","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","32","10","46","31"
"02/19/2005","39","Ozone","West Los Angeles","06-037-0113","AQS","11","39","2","22","38"
"02/20/2005","35","Ozone","Reseda","06-037-1201","AQS","11","35","4","22","28"
"02/21/2005","53","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","34","9","53","37"
"02/22/2005","37","Ozone","Santa Clarita","06-037-6012","AQS","7","37","4","22","36"
"02/23/2005","42","Ozone","LAX Hastings","06-037-5005","AQS","15","42","5","29","42"
"02/24/2005","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","39","29","78","48"
"02/25/2005","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","24","40","13","93","57"
"02/26/2005","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","44","13","65","40"
"02/27/2005","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","46","19","61","40"
"02/28/2005","56","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","23","37","9","56","42"
"03/01/2005","54","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","42","12","54","47"
"03/02/2005","52","PM2.5","Burbank","06-037-1002","AQS","26","37","10","52","45"
"03/03/2005","47","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","43","10","47","42"
"03/04/2005","41","Ozone","LAX Hastings","06-037-5005","AQS","16","41","8","38","41"
"03/05/2005","56","PM2.5","Burbank","06-037-1002","AQS","17","40","16","56","43"
"03/06/2005","73","PM2.5","Azusa","06-037-0002","AQS","17","46","10","73","40"
"03/07/2005","98","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","49","13","98","62"
"03/08/2005","148","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","71","19","148","58"
"03/09/2005","144","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","49","20","144","77"
"03/10/2005","164","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","23","74","24","164","93"
"03/11/2005","167","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","77","63","167","74"
"03/12/2005","106","PM2.5","Azusa","06-037-0002","AQS","15","61","19","106","51"
"03/13/2005","72","PM2.5","Azusa","06-037-0002","AQS","11","46","10","72","33"
"03/14/2005","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","27","47","38","61","54"
"03/15/2005","56","NO2","Lynwood","06-037-1301","AQS","35","47","19","55","56"
"03/16/2005","63","NO2","Lynwood","06-037-1301","AQS","27","45","25","58","63"
"03/17/2005","79","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","49","44","79","53"
"03/18/2005","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","41","17","63","44"
"03/19/2005","56","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","42","5","56","38"
"03/20/2005","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","46","8","52","39"
"03/21/2005","48","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","45","8","48","39"
"03/22/2005","46","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","42","9","46","38"
"03/23/2005","46","Ozone","West Los Angeles","06-037-0113","AQS","16","46","18","35","41"
"03/24/2005","46","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","45","8","46","44"
"03/25/2005","49","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","49","11","49","45"
"03/26/2005","58","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","49","19","58","57"
"03/27/2005","67","Ozone","Reseda","06-037-1201","AQS","24","67","16","60","52"
"03/28/2005","46","Ozone","Santa Clarita","06-037-6012","AQS","9","46","13","43","43"
"03/29/2005","49","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","49","31","49","42"
"03/30/2005","54","Ozone","Reseda","06-037-1201","AQS","18","54","12","48","54"
"03/31/2005","76","NO2","Lynwood","06-037-1301","AQS","26","61","35","52","76"
"04/01/2005","60","NO2","Lynwood","06-037-1301","AQS","30","54","14","52","60"
"04/02/2005","101","Ozone","Reseda","06-037-1201","AQS","20","101","17","60","62"
"04/03/2005","87","Ozone","Lancaster-Division Street","06-037-9033","AQS","16","87","19","64","48"
"04/04/2005","54","Ozone","Reseda","06-037-1201","AQS","10","54","36","43","46"
"04/05/2005","74","Ozone","Reseda","06-037-1201","AQS","17","74","16","57","66"
"04/06/2005","90","Ozone","Reseda","06-037-1201","AQS","28","90","19","63","79"
"04/07/2005","60","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","50","16","60","50"
"04/08/2005","47","Ozone","Reseda","06-037-1201","AQS","18","47","13","46","47"
"04/09/2005","49","Ozone","Glendora","06-037-0016","AQS","10","49","10","38","41"
"04/10/2005","64","Ozone","Glendora","06-037-0016","AQS","11","64","23","54","42"
"04/11/2005","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","58","27","62","62"
"04/12/2005","97","Ozone","Reseda","06-037-1201","AQS","25","97","26","67","69"
"04/13/2005","74","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","51","51","74","47"
"04/14/2005","71","Ozone","Reseda","06-037-1201","AQS","26","71","19","60","64"
"04/15/2005","74","Ozone","Santa Clarita","06-037-6012","AQS","18","74","29","68","73"
"04/16/2005","164","Ozone","Santa Clarita","06-037-6012","AQS","28","164","49","79","80"
"04/17/2005","177","Ozone","Santa Clarita","06-037-6012","AQS","13","177","31","85","50"
"04/18/2005","90","Ozone","Lynwood","06-037-1301","AQS","13","90","25","76","42"
"04/19/2005","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","51","17","62","37"
"04/20/2005","64","Ozone","Reseda","06-037-1201","AQS","13","64","19","58","44"
"04/21/2005","100","Ozone","Reseda","06-037-1201","AQS","19","100","26","61","62"
"04/22/2005","68","PM2.5","Azusa","06-037-0002","AQS","15","50","53","68","68"
"04/23/2005","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","46","13","52","46"
"04/24/2005","41","Ozone","LAX Hastings","06-037-5005","AQS","7","41","8","31","28"
"04/25/2005","55","PM2.5","Burbank","06-037-1002","AQS","8","51","14","55","35"
"04/26/2005","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","58","25","93","44"
"04/27/2005","56","PM2.5","Azusa","06-037-0002","AQS","8","49","21","56","39"
"04/28/2005","45","Ozone","Reseda","06-037-1201","AQS","7","45","18","31","29"
"04/29/2005","50","Ozone","Reseda","06-037-1201","AQS","13","50","6","39","36"
"04/30/2005","61","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","61","9","53","35"
"05/01/2005","61","Ozone","Santa Clarita","06-037-6012","AQS","10","61","12","56","31"
"05/02/2005","58","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","58","16","48","38"
"05/03/2005","74","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","74","18","61","47"
"05/04/2005","93","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","93","89","85","44"
"05/05/2005","47","PM2.5","Azusa","06-037-0002","AQS","8","42","12","47","36"
"05/06/2005","40","Ozone","Reseda","06-037-1201","AQS","8","40","6","27","37"
"05/07/2005","49","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","46","10","49","29"
"05/08/2005","52","PM2.5","Azusa","06-037-0002","AQS","10","46","17","52","29"
"05/09/2005","40","Ozone","LAX Hastings","06-037-5005","AQS","7","40","8","33","30"
"05/10/2005","47","Ozone","Santa Clarita","06-037-6012","AQS","13","47","44","44","39"
"05/11/2005","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","50","13","52","49"
"05/12/2005","101","Ozone","Santa Clarita","06-037-6012","AQS","18","101","17","56","58"
"05/13/2005","147","Ozone","Lancaster-Division Street","06-037-9033","AQS","23","147","22","66","81"
"05/14/2005","174","Ozone","Santa Clarita","06-037-6012","AQS","14","174","23","68","55"
"05/15/2005","182","Ozone","Glendora","06-037-0016","AQS","13","182","19","73","45"
"05/16/2005","74","PM2.5","Azusa","06-037-0002","AQS","8","44","37","74","36"
"05/17/2005","61","Ozone","Lancaster-Division Street","06-037-9033","AQS","8","61","17","60","42"
"05/18/2005","93","Ozone","Santa Clarita","06-037-6012","AQS","11","93","22","61","47"
"05/19/2005","108","Ozone","Glendora","06-037-0016","AQS","13","108","18","65","57"
"05/20/2005","74","Ozone","Glendora","06-037-0016","AQS","14","74","19","61","53"
"05/21/2005","154","Ozone","Santa Clarita","06-037-6012","AQS","15","154","23","68","64"
"05/22/2005","226","Ozone","Glendora","06-037-0016","AQS","16","226","37","86","56"
"05/23/2005","174","Ozone","Santa Clarita","06-037-6012","AQS","10","174","30","83","42"
"05/24/2005","140","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","140","24","76","38"
"05/25/2005","166","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","166","26","100","43"
"05/26/2005","166","Ozone","Santa Clarita","06-037-6012","AQS","13","166","31","86","64"
"05/27/2005","172","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","172","31","85","50"
"05/28/2005","147","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","147","37","71","29"
"05/29/2005","80","Ozone","Santa Clarita","06-037-6012","AQS","9","80","20","57","26"
"05/30/2005","133","Ozone","Santa Clarita","06-037-6012","AQS","8","133","16","57","32"
"05/31/2005","129","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","129","23","70","53"
"06/01/2005","105","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","105","29","70","38"
"06/02/2005","67","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","67","29","49","32"
"06/03/2005","87","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","87","53","61","38"
"06/04/2005","129","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","129","23","67","42"
"06/05/2005","80","Ozone","Santa Clarita","06-037-6012","AQS","9","80","22","59","32"
"06/06/2005","80","Ozone","Santa Clarita","06-037-6012","AQS","11","80","26","61","43"
"06/07/2005","77","Ozone","Santa Clarita","06-037-6012","AQS","13","77","15","58","44"
"06/08/2005","58","Ozone","Glendora","06-037-0016","AQS","14","58","15","55","48"
"06/09/2005","56","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","41","46","56","37"
"06/10/2005","68","PM2.5","Azusa","06-037-0002","AQS","11","54","15","68","40"
"06/11/2005","108","Ozone","Santa Clarita","06-037-6012","AQS","13","108","16","78","34"
"06/12/2005","136","Ozone","Santa Clarita","06-037-6012","AQS","10","136","19","70","27"
"06/13/2005","161","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","161","29","72","50"
"06/14/2005","154","Ozone","Santa Clarita","06-037-6012","AQS","14","154","31","83","49"
"06/15/2005","133","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","133","43","64","54"
"06/16/2005","80","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","80","21","56","34"
"06/17/2005","37","PM2.5","Long Beach (South)","06-037-4004","AQS","11","35","13","37","31"
"06/18/2005","71","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","71","11","49","33"
"06/19/2005","119","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","119","17","47","40"
"06/20/2005","93","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","93","23","52","53"
"06/21/2005","100","Ozone","Santa Clarita","06-037-6012","AQS","14","100","59","61","57"
"06/22/2005","77","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","77","26","58","64"
"06/23/2005","101","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","101","31","65","55"
"06/24/2005","119","Ozone","Santa Clarita","06-037-6012","AQS","15","119","15","64","53"
"06/25/2005","71","Ozone","Lancaster-Division Street","06-037-9033","AQS","8","71","14","56","36"
"06/26/2005","122","Ozone","Santa Clarita","06-037-6012","AQS","9","122","15","56","37"
"06/27/2005","115","Ozone","Lancaster-Division Street","06-037-9033","AQS","8","115","31","67","36"
"06/28/2005","119","Ozone","Lancaster-Division Street","06-037-9033","AQS","8","119","23","62","42"
"06/29/2005","177","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","177","46","72","48"
"06/30/2005","177","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","177","33","93","65"
"07/01/2005","203","Ozone","Santa Clarita","06-037-6012","AQS","13","203","31","98","62"
"07/02/2005","177","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","177","29","80","46"
"07/03/2005","179","Ozone","Santa Clarita","06-037-6012","AQS","10","179","35","94","35"
"07/04/2005","185","Ozone","Santa Clarita","06-037-6012","AQS","10","185","21","154","38"
"07/05/2005","208","PM2.5","Azusa","06-037-0002","AQS","11","185","27","208","57"
"07/06/2005","161","Ozone","Santa Clarita","06-037-6012","AQS","9","161","30","81","50"
"07/07/2005","161","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","161","26","73","47"
"07/08/2005","105","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","105","25","70","40"
"07/09/2005","197","Ozone","Santa Clarita","06-037-6012","AQS","10","197","41","81","42"
"07/10/2005","202","Ozone","Santa Clarita","06-037-6012","AQS","9","202","17","72","32"
"07/11/2005","136","Ozone","Santa Clarita","06-037-6012","AQS","10","136","28","86","56"
"07/12/2005","159","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","159","33","99","54"
"07/13/2005","172","Ozone","Santa Clarita","06-037-6012","AQS","14","172","33","72","71"
"07/14/2005","97","Ozone","Santa Clarita","06-037-6012","AQS","15","97","36","77","78"
"07/15/2005","150","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","150","51","79","49"
"07/16/2005","238","Ozone","Santa Clarita","06-037-6012","AQS","10","238","36","89","41"
"07/17/2005","238","Ozone","Santa Clarita","06-037-6012","AQS","11","238","27","81","42"
"07/18/2005","223","Ozone","Santa Clarita","06-037-6012","AQS","13","223","29","77","55"
"07/19/2005","200","Ozone","Santa Clarita","06-037-6012","AQS","13","200","42","70","61"
"07/20/2005","103","NO2","Los Angeles-North Main Street","06-037-1103","AQS","13","77","31","66","103"
"07/21/2005","129","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","129","53","69","79"
"07/22/2005","129","Ozone","Lancaster-Division Street","06-037-9033","AQS","15","129","33","68","73"
"07/23/2005","151","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","151","34","62","43"
"07/24/2005","164","Ozone","Santa Clarita","06-037-6012","AQS","9","164","24","62","29"
"07/25/2005","177","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","177","25","60","48"
"07/26/2005","177","Ozone","Lancaster-Division Street","06-037-9033","AQS","14","177","27","68","53"
"07/27/2005","159","Ozone","Santa Clarita","06-037-6012","AQS","13","159","42","75","55"
"07/28/2005","179","Ozone","Santa Clarita","06-037-6012","AQS","13","179","24","65","45"
"07/29/2005","140","Ozone","Santa Clarita","06-037-6012","AQS","11","140","20","66","48"
"07/30/2005","156","Ozone","Santa Clarita","06-037-6012","AQS","11","156","22","60","44"
"07/31/2005","147","Ozone","Pomona","06-037-1701","AQS","11","147","16","62","33"
"08/01/2005","156","Ozone","Santa Clarita","06-037-6012","AQS","11","156","20","73","43"
"08/02/2005","172","Ozone","Santa Clarita","06-037-6012","AQS","10","172","50","85","54"
"08/03/2005","154","Ozone","Santa Clarita","06-037-6012","AQS","11","154","32","79","58"
"08/04/2005","202","Ozone","Santa Clarita","06-037-6012","AQS","14","202","33","89","56"
"08/05/2005","204","Ozone","Santa Clarita","06-037-6012","AQS","14","204","38","128","62"
"08/06/2005","214","Ozone","Santa Clarita","06-037-6012","AQS","14","214","30","75","53"
"08/07/2005","205","Ozone","Santa Clarita","06-037-6012","AQS","10","205","23","73","38"
"08/08/2005","150","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","150","53","76","49"
"08/09/2005","126","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","126","27","68","52"
"08/10/2005","140","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","140","26","76","42"
"08/11/2005","169","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","169","26","85","51"
"08/12/2005","143","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","143","32","75","42"
"08/13/2005","126","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","126","24","68","25"
"08/14/2005","150","Ozone","Santa Clarita","06-037-6012","AQS","8","150","30","71","36"
"08/15/2005","93","Ozone","Santa Clarita","06-037-6012","AQS","11","93","16","66","35"
"08/16/2005","97","Ozone","Santa Clarita","06-037-6012","AQS","11","97","25","62","41"
"08/17/2005","105","Ozone","Santa Clarita","06-037-6012","AQS","13","105","30","67","48"
"08/18/2005","101","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","101","27","70","43"
"08/19/2005","101","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","101","26","66","64"
"08/20/2005","129","Ozone","Lancaster-Division Street","06-037-9033","AQS","11","129","40","72","44"
"08/21/2005","185","Ozone","Santa Clarita","06-037-6012","AQS","13","185","17","69","45"
"08/22/2005","151","Ozone","Santa Clarita","06-037-6012","AQS","16","151","27","67","60"
"08/23/2005","151","Ozone","Santa Clarita","06-037-6012","AQS","13","151","24","83","48"
"08/24/2005","84","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","84","24","84","55"
"08/25/2005","140","Ozone","West Los Angeles","06-037-0113","AQS","17","140","25","70","76"
"08/26/2005","108","Ozone","Glendora","06-037-0016","AQS","13","108","57","72","69"
"08/27/2005","154","Ozone","Pomona","06-037-1701","AQS","17","154","18","71","71"
"08/28/2005","213","Ozone","Glendora","06-037-0016","AQS","13","213","16","68","64"
"08/29/2005","203","Ozone","Santa Clarita","06-037-6012","AQS","14","203","32","73","57"
"08/30/2005","140","Ozone","Santa Clarita","06-037-6012","AQS","13","140","55","68","62"
"08/31/2005","147","Ozone","Lancaster-Division Street","06-037-9033","AQS","8","147","37","65","52"
"09/01/2005","169","Ozone","Lancaster-Division Street","06-037-9033","AQS","16","169","56","84","72"
"09/02/2005","164","Ozone","Reseda","06-037-1201","AQS","15","164","31","87","69"
"09/03/2005","174","Ozone","Glendora","06-037-0016","AQS","14","174","21","75","57"
"09/04/2005","177","Ozone","Pomona","06-037-1701","AQS","13","177","16","71","52"
"09/05/2005","140","Ozone","Pomona","06-037-1701","AQS","14","140","19","61","46"
"09/06/2005","87","Ozone","Santa Clarita","06-037-6012","AQS","27","87","26","64","77"
"09/07/2005","100","Ozone","Lancaster-Division Street","06-037-9033","AQS","19","100","48","69","84"
"09/08/2005","93","Ozone","Santa Clarita","06-037-6012","AQS","13","93","26","65","53"
"09/09/2005","55","PM2.5","Azusa","06-037-0002","AQS","9","43","21","55","35"
"09/10/2005","59","PM2.5","","06-037-1601","AQS","8","47","20","59","28"
"09/11/2005","56","PM2.5","Azusa","06-037-0002","AQS","8","54","19","56","30"
"09/12/2005","58","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","58","24","52","34"
"09/13/2005","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","58","47","59","32"
"09/14/2005","93","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","93","28","60","44"
"09/15/2005","133","Ozone","Lancaster-Division Street","06-037-9033","AQS","15","133","36","67","55"
"09/16/2005","93","Ozone","Santa Clarita","06-037-6012","AQS","13","93","24","79","42"
"09/17/2005","126","Ozone","Santa Clarita","06-037-6012","AQS","17","126","22","74","46"
"09/18/2005","133","Ozone","Santa Clarita","06-037-6012","AQS","13","133","20","75","42"
"09/19/2005","100","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","100","51","99","63"
"09/20/2005","71","PM2.5","Long Beach (South)","06-037-4004","AQS","20","44","7","71","53"
"09/21/2005","76","NO2","Long Beach (North)","06-037-4002","AQS","23","58","12","73","76"
"09/22/2005","82","NO2","Los Angeles-North Main Street","06-037-1103","AQS","27","80","22","80","82"
"09/23/2005","107","PM2.5","Azusa","06-037-0002","AQS","11","100","23","107","62"
"09/24/2005","85","PM2.5","Azusa","06-037-0002","AQS","11","54","19","85","41"
"09/25/2005","122","Ozone","West Los Angeles","06-037-0113","AQS","11","122","44","93","64"
"09/26/2005","86","NO2","Burbank","06-037-1002","AQS","18","47","20","74","86"
"09/27/2005","62","NO2","Long Beach (North)","06-037-4002","AQS","16","46","13","61","62"
"09/28/2005","102","NO2","Lynwood","06-037-1301","AQS","40","87","19","66","102"
"09/29/2005","79","NO2","Lynwood","06-037-1301","AQS","52","64","24","68","79"
"09/30/2005","150","Ozone","Santa Clarita","06-037-6012","AQS","40","150","37","86","93"
"10/01/2005","106","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","105","51","106","64"
"10/02/2005","109","PM2.5","Azusa","06-037-0002","AQS","15","108","22","109","45"
"10/03/2005","66","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","46","23","66","52"
"10/04/2005","70","NO2","Pomona","06-037-1701","AQS","26","48","19","64","70"
"10/05/2005","80","NO2","Long Beach (North)","06-037-4002","AQS","35","46","17","54","80"
"10/06/2005","69","NO2","Burbank","06-037-1002","AQS","38","46","26","53","69"
"10/07/2005","88","NO2","Long Beach (North)","06-037-4002","AQS","22","74","49","68","88"
"10/08/2005","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","50","44","64","44"
"10/09/2005","77","Ozone","Santa Clarita","06-037-6012","AQS","17","77","21","67","42"
"10/10/2005","74","PM2.5","Lynwood","06-037-1301","AQS","27","64","21","74","72"
"10/11/2005","85","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","67","30","85","64"
"10/12/2005","103","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","74","33","103","77"
"10/13/2005","103","NO2","Long Beach (North)","06-037-4002","AQS","30","47","54","72","103"
"10/14/2005","108","NO2","Long Beach (North)","06-037-4002","AQS","44","54","28","71","108"
"10/15/2005","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","50","24","63","53"
"10/16/2005","44","Ozone","Santa Clarita","06-037-6012","AQS","10","44","16","40","35"
"10/17/2005","58","PM2.5","Azusa","06-037-0002","AQS","22","33","6","58","42"
"10/18/2005","56","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","34","6","56","37"
"10/19/2005","71","PM2.5","Burbank","06-037-1002","AQS","23","45","35","71","51"
"10/20/2005","98","PM2.5","Azusa","06-037-0002","AQS","32","45","24","98","71"
"10/21/2005","153","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","64","30","153","73"
"10/22/2005","156","PM2.5","Pasadena","06-037-2005","AQS","14","50","53","156","48"
"10/23/2005","135","PM2.5","Azusa","06-037-0002","AQS","13","51","16","135","40"
"10/24/2005","117","PM2.5","Azusa","06-037-0002","AQS","14","48","22","117","46"
"10/25/2005","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","44","32","52","40"
"10/26/2005","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","44","19","78","47"
