"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2005","117","PM2.5","Burbank","06-037-1002","AQS","34","35","9","117","36"
"01/02/2005","71","PM2.5","Long Beach (North)","06-037-4002","AQS","49","33","6","71","33"
"01/03/2005","40","NO2","Los Angeles-North Main Street","06-037-1103","AQS","19","29","4","37","40"
"01/04/2005","67","PM2.5","Burbank","06-037-1002","AQS","25","31","23","67","46"
"01/05/2005","57","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","33","30","12","57","45"
"01/06/2005","76","PM2.5","Long Beach (North)","06-037-4002","AQS","42","29","13","76","50"
"01/07/2005","62","PM2.5","Lynwood","06-037-1301","AQS","23","34","10","62","38"
"01/08/2005","37","NO2","Los Angeles-North Main Street","06-037-1103","AQS","14","34","4","33","37"
"01/09/2005","30","Ozone","Lancaster-Division Street","06-037-9033","AQS","13","30","2","24","27"
"01/10/2005","37","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","34","6","37","27"
"01/11/2005","42","Ozone","LAX Hastings","06-037-5005","AQS","16","42","4","25","35"
"01/12/2005","60","PM2.5","Long Beach (North)","06-037-4002","AQS","31","33","11","60","54"
"01/13/2005","80","PM2.5","Long Beach (North)","06-037-4002","AQS","39","19","26","80","61"
"01/14/2005","75","PM2.5","Long Beach (South)","06-037-4004","AQS","44","30","21","75","60"
"01/15/2005","82","PM2.5","Long Beach (South)","06-037-4004","AQS","47","31","19","82","56"
"01/16/2005","60","PM2.5","Lynwood","06-037-1301","AQS","42","38","37","60","52"
"01/17/2005","64","PM2.5","Long Beach (South)","06-037-4004","AQS","50","38","17","64","62"
"01/18/2005","65","NO2","Los Angeles-North Main Street","06-037-1103","AQS","51","35","19","61","65"
"01/19/2005","69","NO2","Burbank","06-037-1002","AQS","49","34","23","60","69"
"01/20/2005","62","NO2","Burbank","06-037-1002","AQS","33","26","26","59","62"
"01/21/2005","85","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","48","21","23","85","73"
