"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2006","58","PM2.5","Long Beach (North)","06-037-4002","AQS","14","31","6","58","26"
"01/02/2006","49","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","39","3","49","31"
"01/03/2006","53","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","30","31","10","53","43"
"01/04/2006","68","PM2.5","Long Beach (North)","06-037-4002","AQS","38","35","12","68","49"
"01/05/2006","58","PM2.5","Lynwood","06-037-1301","AQS","31","37","42","58","43"
"01/06/2006","62","NO2","Pomona","06-037-1701","AQS","55","35","18","58","62"
"01/07/2006","72","PM2.5","Long Beach (South)","06-037-4004","AQS","62","40","30","72","64"
"01/08/2006","93","PM2.5","Pico Rivera #2","06-037-1602","AQS","24","38","9","93","54"
"01/09/2006","54","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","32","38","15","54","46"
"01/10/2006","54","PM2.5","Long Beach (South)","06-037-4004","AQS","27","35","17","54","47"
"01/11/2006","94","PM2.5","Lynwood","06-037-1301","AQS","52","33","53","94","70"
"01/12/2006","109","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","33","32","16","109","73"
"01/13/2006","89","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","36","43","32","89","82"
"01/14/2006","71","PM2.5","Burbank","06-037-1002","AQS","16","36","12","71","37"
"01/15/2006","39","Ozone","Santa Clarita","06-037-6012","AQS","19","39","7","29","36"
"01/16/2006","56","PM2.5","Long Beach (South)","06-037-4004","AQS","27","36","14","56","44"
"01/17/2006","83","PM2.5","Long Beach (South)","06-037-4004","AQS","45","24","68","83","62"
"01/18/2006","70","PM2.5","Long Beach (South)","06-037-4004","AQS","39","32","16","70","57"
"01/19/2006","51","PM2.5","Long Beach (South)","06-037-4004","AQS","18","35","4","51","43"
"01/20/2006","64","PM2.5","Pico Rivera #2","06-037-1602","AQS","25","31","12","64","46"
"01/21/2006","73","PM2.5","Long Beach (South)","06-037-4004","AQS","35","39","10","73","57"
"01/22/2006","66","PM2.5","Long Beach (South)","06-037-4004","AQS","36","41","13","66","38"
"01/23/2006","66","NO2","Los Angeles-North Main Street","06-037-1103","AQS","39","44","53","49","66"
"01/24/2006","101","NO2","Lynwood","06-037-1301","AQS","60","44","17","55","101"
"01/25/2006","56","PM2.5","Long Beach (South)","06-037-4004","AQS","16","35","27","56","46"
"01/26/2006","65","PM2.5","Lynwood","06-037-1301","AQS","16","40","23","65","43"
"01/27/2006","59","PM2.5","Azusa","06-037-0002","AQS","26","37","12","59","41"
"01/28/2006","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","38","10","72","41"
"01/29/2006","105","PM2.5","Burbank","06-037-1002","AQS","20","38","50","105","49"
"01/30/2006","102","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","45","36","19","102","65"
"01/31/2006","87","PM2.5","Azusa","06-037-0002","AQS","16","36","15","87","49"
"02/01/2006","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","38","34","21","78","70"
"02/02/2006","92","PM2.5","Azusa","06-037-0002","AQS","30","33","8","92","67"
"02/03/2006","100","NO2","Azusa","06-037-0002","AQS","39","33","18","95","100"
"02/04/2006","156","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","35","55","156","74"
"02/05/2006","116","PM2.5","Long Beach (North)","06-037-4002","AQS","26","44","12","116","63"
"02/06/2006","76","PM2.5","Long Beach (South)","06-037-4004","AQS","36","46","23","76","57"
"02/07/2006","63","PM2.5","Long Beach (South)","06-037-4004","AQS","36","44","27","63","56"
"02/08/2006","68","NO2","Lynwood","06-037-1301","AQS","56","42","31","64","68"
"02/09/2006","80","NO2","LAX Hastings","06-037-5005","AQS","68","40","30","70","80"
"02/10/2006","124","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","24","50","55","124","70"
"02/11/2006","153","PM2.5","Long Beach (North)","06-037-4002","AQS","23","49","20","153","95"
"02/12/2006","67","NO2","Pomona","06-037-1701","AQS","35","48","17","61","67"
"02/13/2006","123","PM2.5","Lynwood","06-037-1301","AQS","35","40","26","123","77"
"02/14/2006","73","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","39","44","28","73","73"
"02/15/2006","58","PM2.5","Long Beach (North)","06-037-4002","AQS","14","43","27","58","45"
"02/16/2006","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","39","69","46"
