"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2001","166","PM2.5","","06-037-1601","AQS","58","35","69","166","91"
"01/02/2001","104","NO2","Los Angeles-North Main Street","06-037-1103","AQS","74","44","44","86","104"
"01/03/2001","100","NO2","Los Angeles-North Main Street","06-037-1103","AQS","64","38","32","68","100"
"01/04/2001","81","NO2","Burbank","06-037-1002","AQS","60","34","37","71","81"
"01/05/2001","100","NO2","","06-037-1601","AQS","67","32","54","97","100"
"01/06/2001","106","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","64","22","35","106","101"
"01/07/2001","158","PM2.5","Burbank","06-037-1002","AQS","50","26","66","158","91"
"01/08/2001","62","NO2","Los Angeles-North Main Street","06-037-1103","AQS","41","35","25",".","62"
"01/09/2001","97","PM2.5","Long Beach (North)","06-037-4002","AQS","62","28","6","97","71"
"01/10/2001","91","PM2.5","","06-037-1601","AQS","39","37","11","91","48"
"01/11/2001","48","NO2","Pomona","06-037-1701","AQS","23","37","6","42","48"
"01/12/2001","70","PM2.5","Long Beach (North)","06-037-4002","AQS","61","33","12","70","45"
"01/13/2001","103","PM2.5","Reseda","06-037-1201","AQS","74","31","42","103","48"
"01/14/2001","133","PM2.5","Long Beach (North)","06-037-4002","AQS","59","31","8","133","52"
"01/15/2001","103","PM2.5","Long Beach (North)","06-037-4002","AQS","59","28","6","103","54"
"01/16/2001","97","PM2.5","","06-037-1601","AQS","50","41","13","97","55"
"01/17/2001","82","CO","Lynwood","06-037-1301","AQS","82","42","19","76","74"
"01/18/2001","113","PM2.5","Long Beach (North)","06-037-4002","AQS","63","27","24","113","79"
"01/19/2001","142","PM2.5","Long Beach (North)","06-037-4002","AQS","73","19","60","142","96"
"01/20/2001","128","PM2.5","Long Beach (North)","06-037-4002","AQS","58","29","16","128","83"
"01/21/2001","124","PM2.5","Long Beach (North)","06-037-4002","AQS","65","28","14","124","68"
"01/22/2001","126","PM2.5","Long Beach (North)","06-037-4002","AQS","60","32","51","126","74"
"01/23/2001","116","PM2.5","Long Beach (North)","06-037-4002","AQS","51","27","23","116","89"
"01/24/2001","68","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","35","34","6","68","68"
"01/25/2001","91","PM2.5","","06-037-1601","AQS","40","31","29","91","68"
"01/26/2001","76","PM2.5","Long Beach (North)","06-037-4002","AQS","47","27","5","76","68"
"01/27/2001","94","PM2.5","Long Beach (North)","06-037-4002","AQS","58","29","6","94","47"
"01/28/2001","95","PM2.5","Lynwood","06-037-1301","AQS","39","37","31","95","57"
"01/29/2001","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","61","35","20","72","55"
"01/30/2001","92","PM2.5","Long Beach (North)","06-037-4002","AQS","41","31","10","92","66"
