"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2023","46","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","36","26","46","20"
"01/02/2023","56","PM2.5","Compton","06-037-1302","AQS","7","33","19","56","25"
"01/03/2023","42","PM2.5","Reseda","06-037-1201","AQS","5","34","6","42","25"
"01/04/2023","38","Ozone","Santa Clarita","06-037-6012","AQS","6","38","6","29","24"
"01/05/2023","46","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","38","20","46","37"
"01/06/2023","61","PM2.5","Compton","06-037-1302","AQS","13","35","35","61","42"
"01/07/2023","69","PM2.5","Compton","06-037-1302","AQS","14","30","35","69","39"
"01/08/2023","82","PM2.5","Compton","06-037-1302","AQS","19","33","33","82","41"
"01/09/2023","52","PM2.5","Compton","06-037-1302","AQS","8","31","19","52","35"
"01/10/2023","44","PM2.5","Compton","06-037-1302","AQS","6","40","18","44","42"
"01/11/2023","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","30","38","65","46"
"01/12/2023","59","PM2.5","Compton","06-037-1302","AQS","16","33","45","59","42"
"01/13/2023","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","28","51","68","42"
"01/14/2023","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","34","25","68","32"
"01/15/2023","53","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","39","18","53","22"
"01/16/2023","40","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","3","38","19","40","24"
"01/17/2023","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","35","33","52","38"
"01/18/2023","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","31","34","66","46"
"01/19/2023","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","31","33","67","41"
"01/20/2023","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","36","32","64","41"
"01/21/2023","75","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","37","32","75","36"
"01/22/2023","82","PM2.5","Compton","06-037-1302","AQS","26","40","33","82","34"
"01/23/2023","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","39","54","58","53"
"01/24/2023","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","35","54","67","48"
