"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","142","PM2.5","Compton","06-037-1302","AQS","24","43","55","142","38"
"01/02/2013","70","PM2.5","Burbank","06-037-1002","AQS","23","43","41","70","54"
"01/03/2013","77","PM2.5","Long Beach (North)","06-037-4002","AQS","27","44","46","77","56"
"01/04/2013","69","PM2.5","Compton","06-037-1302","AQS","20","39","39","69","49"
"01/05/2013","90","PM2.5","Long Beach (South)","06-037-4004","AQS","30","31","46","90","52"
"01/06/2013","74","PM2.5","Long Beach (North)","06-037-4002","AQS","23","39","30","74","38"
"01/07/2013","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","40","25","63","45"
"01/08/2013","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","38","41","76","52"
"01/09/2013","86","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","40","32","44","86","71"
"01/10/2013","57","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","39","19","57","36"
"01/11/2013","38","Ozone","Glendora","06-037-0016","AQS","15","38","12","31","35"
"01/12/2013","64","PM2.5","Long Beach (North)","06-037-4002","AQS","19","39","24","64","39"
"01/13/2013","79","PM2.5","Long Beach (North)","06-037-4002","AQS","24","38","31","79","40"
"01/14/2013","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","41","30","59","50"
"01/15/2013","66","PM2.5","Long Beach (North)","06-037-4002","AQS","26","39","32","66","54"
"01/16/2013","79","PM2.5","Compton","06-037-1302","AQS","27","39","39","79","57"
"01/17/2013","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","32","44","48","69","69"
"01/18/2013","61","PM2.5","Burbank","06-037-1002","AQS","19","42","33","61","58"
"01/19/2013","63","PM2.5","Long Beach (South)","06-037-4004","AQS","22","42","30","63","53"
"01/20/2013","55","PM2.5","Burbank","06-037-1002","AQS","19","41","19","55","48"
"01/21/2013","76","NO2","Long Beach (Hudson)","06-037-4006","AQS","26","40","33","62","76"
"01/22/2013","76","NO2","Long Beach (Hudson)","06-037-4006","AQS","28","31","50","67","76"
"01/23/2013","76","NO2","Long Beach (Hudson)","06-037-4006","AQS","38","29","39","57","76"
"01/24/2013","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","19","15","59","42"
"01/25/2013","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","18","16","62","35"
"01/26/2013","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","30","17","64","27"
"01/27/2013","60","PM2.5","Burbank","06-037-1002","AQS","14","39","16","60","32"
"01/28/2013","39","Ozone","Santa Clarita","06-037-6012","AQS","11","39","11","31","31"
"01/29/2013","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","37","25","59","38"
"01/30/2013","76","PM2.5","Long Beach (North)","06-037-4002","AQS","22","33","46","76","53"
"01/31/2013","74","PM2.5","Long Beach (North)","06-037-4002","AQS","26","35","51","74","60"
"02/01/2013","70","PM2.5","Long Beach (North)","06-037-4002","AQS","23","29","42","70","58"
"02/02/2013","79","PM2.5","Long Beach (South)","06-037-4004","AQS","26","31","42","79","58"
"02/03/2013","57","PM2.5","Long Beach (South)","06-037-4004","AQS","16","39","25","57","33"
"02/04/2013","90","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","39","43","90","43"
"02/05/2013","149","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","40","47","149","43"
"02/06/2013","108","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","43","48","108","40"
"02/07/2013","94","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","43","42","94","35"
"02/08/2013","44","Ozone","LAX Hastings","06-037-5005","AQS","14","44","14","39","41"
"02/09/2013","66","PM2.5","Long Beach (North)","06-037-4002","AQS","16","40","26","66","42"
"02/10/2013","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","43","27","64","37"
"02/11/2013","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","45","32","65","45"
"02/12/2013","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","30","62","46"
"02/13/2013","77","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","38","40","77","51"
"02/14/2013","88","PM2.5","Long Beach (North)","06-037-4002","AQS","25","44","49","88","67"
"02/15/2013","76","NO2","LAX Hastings","06-037-5005","AQS","26","43","37","61","76"
"02/16/2013","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","49","19","52","49"
"02/17/2013","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","51","30","64","45"
