"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2010","84","PM2.5","Burbank","06-037-1002","AQS","17","36","20","84","41"
"01/02/2010","84","PM2.5","Compton","06-037-1302","AQS","30","36","41","84","57"
"01/03/2010","61","PM2.5","Long Beach (South)","06-037-4004","AQS","28","33","17","61","49"
"01/04/2010","56","NO2","Long Beach (Hudson)","06-037-4006","AQS","27","31","25","55","56"
"01/05/2010","60","PM2.5","Long Beach (South)","06-037-4004","AQS","30","31","31","60","58"
"01/06/2010","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","36","31","33","76","67"
"01/07/2010","98","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","39","28","61","98","81"
"01/08/2010","91","PM2.5","Compton","06-037-1302","AQS","35","27","49","91","82"
"01/09/2010","58","NO2","Pico Rivera #2","06-037-1602","AQS","24","31","28","55","58"
"01/10/2010","68","PM2.5","Long Beach (South)","06-037-4004","AQS","23","30","29","68","56"
"01/11/2010","77","PM2.5","Long Beach (South)","06-037-4004","AQS","28","28","43","77","73"
"01/12/2010","87","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","32","52","87","70"
"01/13/2010","71","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","42","24","71","41"
"01/14/2010","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","40","67","65"
"01/15/2010","61","PM2.5","Burbank","06-037-1002","AQS","22","33","39","61","56"
"01/16/2010","68","PM2.5","Long Beach (North)","06-037-4002","AQS","28","30","35","68","54"
"01/17/2010","71","PM2.5","Burbank","06-037-1002","AQS","15","38","27","71","36"
"01/18/2010","88","PM2.5","Santa Clarita","06-037-6012","AQS","9","38","25","88","41"
"01/19/2010","61","PM2.5","Burbank","06-037-1002","AQS","16","33","19","61","42"
"01/20/2010","63","PM2.5","Santa Clarita","06-037-6012","AQS","22","35","23","63","38"
"01/21/2010","50","PM2.5","Santa Clarita","06-037-6012","AQS","7","41","15","50","36"
"01/22/2010","48","PM2.5","Long Beach (North)","06-037-4002","AQS","11","39","11","48","46"
"01/23/2010","75","PM2.5","Burbank","06-037-1002","AQS","19","41","27","75","41"
"01/24/2010","74","PM2.5","Long Beach (North)","06-037-4002","AQS","23","37","33","74","37"
"01/25/2010","71","PM2.5","Long Beach (North)","06-037-4002","AQS","27","34","36","71","48"
"01/26/2010","82","PM2.5","Pico Rivera #2","06-037-1602","AQS","23","30","27","82","52"
"01/27/2010","58","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","35","23","58","47"
"01/28/2010","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","35","28","61","53"
"01/29/2010","75","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","31","32","75","49"
"01/30/2010","84","PM2.5","Burbank","06-037-1002","AQS","30","39","32","84","44"
"01/31/2010","90","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","39","35","90","43"
"02/01/2010","94","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","35","40","94","76"
"02/02/2010","114","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","33","39","114","54"
"02/03/2010","85","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","41","36","85","52"
