"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2009","163","PM2.5","Burbank","06-037-1002","AQS","34","31","63","163","78"
"01/02/2009","154","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","40","58","154","57"
"01/03/2009","101","PM2.5","Burbank","06-037-1002","AQS","10","32","30","101","37"
"01/04/2009","76","PM2.5","Long Beach (North)","06-037-4002","AQS","28","40","27","76","41"
"01/05/2009","64","PM2.5","Burbank","06-037-1002","AQS","25","34","35","64","49"
"01/06/2009","86","PM2.5","Burbank","06-037-1002","AQS","20","28","43","86","48"
"01/07/2009","106","PM2.5","Burbank","06-037-1002","AQS","34","25","55","106","66"
"01/08/2009","103","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","31","30","51","103","82"
"01/09/2009","127","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","35","40","57","127","63"
"01/10/2009","83","PM2.5","Compton","06-037-1302","AQS","49","38","54","83","54"
"01/11/2009","68","PM2.5","Long Beach (South)","06-037-4004","AQS","39","40","33","68","49"
"01/12/2009","76","NO2","LAX Hastings","06-037-5005","AQS","42","39","52","58","76"
"01/13/2009","78","NO2","Compton","06-037-1302","AQS","41","35","65","67","78"
"01/14/2009","69","NO2","LAX Hastings","06-037-5005","AQS","40","33","45","59","69"
"01/15/2009","68","PM2.5","Long Beach (South)","06-037-4004","AQS","52","35","44","68","67"
"01/16/2009","76","PM2.5","Compton","06-037-1302","AQS","43","36","48","76","68"
"01/17/2009","60","PM2.5","Burbank","06-037-1002","AQS","28","35","37","60","52"
"01/18/2009","53","PM2.5","Burbank","06-037-1002","AQS","27","39","30","53","42"
"01/19/2009","60","NO2","Burbank","06-037-1002","AQS","20","34","44","56","60"
"01/20/2009","61","NO2","Long Beach (North)","06-037-4002","AQS","20","33","40","59","61"
"01/21/2009","70","PM2.5","Long Beach (South)","06-037-4004","AQS","19","26","38","70","65"
"01/22/2009","78","PM2.5","Compton","06-037-1302","AQS","20","22","45","78","57"
"01/23/2009","62","PM2.5","Burbank","06-037-1002","AQS","18","22","29","62","46"
"01/24/2009","48","PM2.5","Burbank","06-037-1002","AQS","8","28","12","48","26"
"01/25/2009","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","35","23","55","29"
"01/26/2009","38","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","36","21","38","35"
"01/27/2009","56","PM2.5","Burbank","06-037-1002","AQS","17","38","31","56","46"
"01/28/2009","61","PM2.5","Long Beach (North)","06-037-4002","AQS","27","39","37","61","51"
"01/29/2009","68","NO2","Compton","06-037-1302","AQS","42","41","40","60","68"
"01/30/2009","62","NO2","Compton","06-037-1302","AQS","31","39","61","58","62"
"01/31/2009","59","PM2.5","Burbank","06-037-1002","AQS","32","36","37","59","47"
"02/01/2009","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","40","44","82","52"
"02/02/2009","63","PM2.5","Burbank","06-037-1002","AQS","23","37","37","63","51"
"02/03/2009","64","PM2.5","Long Beach (South)","06-037-4004","AQS","26","34","38","64","56"
"02/04/2009","67","NO2","Compton","06-037-1302","AQS","39","34","39","55","67"
"02/05/2009","54","PM2.5","Santa Clarita","06-037-6012","AQS","11","33","28","54","42"
"02/06/2009","37","PM2.5","Burbank","06-037-1002","AQS","7","36","15","37","32"
"02/07/2009","34","Ozone","Glendora","06-037-0016","AQS","6","34","14","33","31"
"02/08/2009","51","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","36","19","51","30"
"02/09/2009","46","NO2","Azusa","06-037-0002","AQS","6","29","12","28","46"
"02/10/2009","43","PM2.5","Long Beach (North)","06-037-4002","AQS","15","31","28","43","40"
"02/11/2009","66","PM2.5","Burbank","06-037-1002","AQS","19","35","33","66","40"
"02/12/2009","50","PM2.5","Burbank","06-037-1002","AQS","17","40","23","50","38"
"02/13/2009","56","PM2.5","Burbank","06-037-1002","AQS","14","35","19","56","35"
"02/14/2009","63","PM2.5","Burbank","06-037-1002","AQS","13","40","27","63","37"
"02/15/2009","77","PM2.5","Burbank","06-037-1002","AQS","24","35","28","77","38"
"02/16/2009","48","PM2.5","Burbank","06-037-1002","AQS","8","40","21","48","35"
"02/17/2009","46","PM2.5","Burbank","06-037-1002","AQS","8","40","17","46","36"
"02/18/2009","56","PM2.5","Burbank","06-037-1002","AQS","13","39","27","56","45"
"02/19/2009","58","PM2.5","Burbank","06-037-1002","AQS","15","41","31","58","50"
