"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2003","122","PM2.5","Long Beach (North)","06-037-4002","AQS","48","42","11","122","54"
"01/02/2003","65","NO2","Lynwood","06-037-1301","AQS","42","36","19","59","65"
"01/03/2003","84","NO2","Long Beach (North)","06-037-4002","AQS","50","31","44","66","84"
"01/04/2003","91","NO2","Pomona","06-037-1701","AQS","61","31","26","66","91"
"01/05/2003","104","NO2","Long Beach (North)","06-037-4002","AQS","79","43","20","95","104"
"01/06/2003","60","NO2","Hawthorne","06-037-5001","AQS","40","43","56","58","60"
"01/07/2003","50","NO2","Lynwood","06-037-1301","AQS","22","43","19","48","50"
"01/08/2003","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","22","19","63","48"
"01/09/2003","70","PM2.5","Reseda","06-037-1201","AQS","25","31","28","70","47"
"01/10/2003","85","PM2.5","Azusa","06-037-0002","AQS","28","26","23","85","52"
"01/11/2003","90","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","31","28","25","90","50"
"01/12/2003","115","PM2.5","Azusa","06-037-0002","AQS","35","31","21","115","57"
"01/13/2003","110","PM2.5","Azusa","06-037-0002","AQS","39","28","22","110","105"
"01/14/2003","113","PM2.5","Azusa","06-037-0002","AQS","51","19","34","113","103"
"01/15/2003","94","NO2","Long Beach (North)","06-037-4002","AQS","60","43","52","90","94"
"01/16/2003","66","NO2","Long Beach (North)","06-037-4002","AQS","42","39","23","55","66"
"01/17/2003","98","NO2","Long Beach (North)","06-037-4002","AQS","40","34","21","63","98"
"01/18/2003","96","PM2.5","Lynwood","06-037-1301","AQS","54","31","20","96","85"
"01/19/2003","109","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","41","34","18","109","86"
"01/20/2003","107","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","31","43","20","107","65"
"01/21/2003","107","PM2.5","Burbank","06-037-1002","AQS","26","40","50","107","54"
"01/22/2003","151","PM2.5","Azusa","06-037-0002","AQS","32","25","23","151","69"
"01/23/2003","120","PM2.5","Long Beach (North)","06-037-4002","AQS","51","20","20","120","105"
"01/24/2003","124","PM2.5","","06-037-1601","AQS","63","35","13","124","104"
"01/25/2003","86","NO2","Pasadena","06-037-2005","AQS","66","39","14","69","86"
"01/26/2003","77","CO","Lynwood","06-037-1301","AQS","77","41","17","57","61"
"01/27/2003","80","NO2","Pasadena","06-037-2005","AQS","39","31","40","70","80"
"01/28/2003","110","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","44","27","23","110","106"
"01/29/2003","147","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","41","31","27","147","101"
"01/30/2003","112","PM2.5","Long Beach (North)","06-037-4002","AQS","60","40","20","112","103"
"01/31/2003","67","NO2","","06-037-1601","AQS","50","30","24","64","67"
"02/01/2003","81","NO2","Hawthorne","06-037-5001","AQS","63","38","49","73","81"
