"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2002","130","PM2.5","Long Beach (North)","06-037-4002","AQS","31","19","12","130","47"
"01/02/2002","157","PM2.5","Lynwood","06-037-1301","AQS","26","20","55","157","66"
"01/03/2002","110","PM2.5","Azusa","06-037-0002","AQS","27","31","6","110","47"
"01/04/2002","111","PM2.5","Long Beach (North)","06-037-4002","AQS","49","32","14","111","73"
"01/05/2002","102","PM2.5","Long Beach (North)","06-037-4002","AQS","54","28","14","102","72"
"01/06/2002","89","PM2.5","Long Beach (North)","06-037-4002","AQS","65","26","13","89","54"
"01/07/2002","88","NO2","Long Beach (North)","06-037-4002","AQS","71","25","20","84","88"
"01/08/2002","111","CO","Lynwood","06-037-1301","AQS","111","20","47","96","107"
"01/09/2002","80","PM2.5","Azusa","06-037-0002","AQS","35","28","20","80","52"
"01/10/2002","96","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","53","40","15","96","78"
"01/11/2002","131","NO2","Burbank","06-037-1002","AQS","59","34","40","75","131"
"01/12/2002","102","NO2","Long Beach (North)","06-037-4002","AQS","56","30","18","81","102"
"01/13/2002","140","PM2.5","Long Beach (North)","06-037-4002","AQS","68","36","13","140","102"
"01/14/2002","143","PM2.5","Burbank","06-037-1002","AQS","58","40","56","143","72"
"01/15/2002","80","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","28","22","80","43"
"01/16/2002","63","PM2.5","Long Beach (North)","06-037-4002","AQS","31","28","25","63","58"
"01/17/2002","82","PM2.5","Long Beach (North)","06-037-4002","AQS","33","39","35","82","65"
"01/18/2002","96","PM2.5","Long Beach (North)","06-037-4002","AQS","38","37","20","96","77"
"01/19/2002","73","PM2.5","Long Beach (North)","06-037-4002","AQS","33","36","25","73","55"
"01/20/2002","88","PM2.5","Long Beach (North)","06-037-4002","AQS","51","41","42","88","54"
"01/21/2002","103","PM2.5","Long Beach (North)","06-037-4002","AQS","65","34","19","103","91"
"01/22/2002","67","PM2.5","Long Beach (North)","06-037-4002","AQS","35","37","21","67","52"
"01/23/2002","67","PM2.5","","06-037-1601","AQS","43","40","14","67","63"
"01/24/2002","82","NO2","","06-037-1601","AQS","51","40","21","70","82"
"01/25/2002","77","NO2","Wilmington-N. Mahar Ave","06-037-0031","AQS","49","26","29","68","77"
"01/26/2002","106","PM2.5","Reseda","06-037-1201","AQS","56","25","44","106","89"
"01/27/2002","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","31","9","63","43"
"01/28/2002","46","NO2","Wilmington-N. Mahar Ave","06-037-0031","AQS","28","34","4","30","46"
"01/29/2002","59","PM2.5","","06-037-1601","AQS","34","32","5","59","52"
"01/30/2002","52","NO2","Long Beach (North)","06-037-4002","AQS","28","37","9","44","52"
"01/31/2002","71","PM2.5","Long Beach (North)","06-037-4002","AQS","36","32","14","71","64"
"02/01/2002","76","PM2.5","Burbank","06-037-1002","AQS","38","32","34","76","62"
"02/02/2002","90","PM2.5","Long Beach (North)","06-037-4002","AQS","47","39","15","90","57"
"02/03/2002","97","PM2.5","Long Beach (North)","06-037-4002","AQS","55","42","13","97","56"
"02/04/2002","79","PM2.5","","06-037-1601","AQS","48","40","16","79","70"
"02/05/2002","104","NO2","Wilmington-N. Mahar Ave","06-037-0031","AQS","59","32","16","99","104"
"02/06/2002","132","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","69","30","21","132","105"
"02/07/2002","154","PM2.5","","06-037-1601","AQS","54","38","59","154","106"
"02/08/2002","134","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","34","30","11","134","69"
"02/09/2002","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","50","44","44","76","66"
"02/10/2002","58","PM2.5","Lynwood","06-037-1301","AQS","47","45","11","58","50"
"02/11/2002","69","NO2","Burbank","06-037-1002","AQS","41","44","19","47","69"
"02/12/2002","102","NO2","SB25 trailer at Hollenbeck School","06-037-0030","AQS","58","43","20","83","102"
"02/13/2002","133","PM2.5","","06-037-1601","AQS","59","22","59","133","112"
"02/14/2002","86","PM2.5","Long Beach (North)","06-037-4002","AQS","43","43","27","86","78"
"02/15/2002","123","PM2.5","Long Beach (North)","06-037-4002","AQS","44","44","28","123","90"
"02/16/2002","129","PM2.5","Burbank","06-037-1002","AQS","20","41","22","129","60"
"02/17/2002","44","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","40","5","44","42"
"02/18/2002","58","PM2.5","Long Beach (North)","06-037-4002","AQS","33","40","6","58","48"
"02/19/2002","73","PM2.5","Burbank","06-037-1002","AQS","28","34","30","73","56"
"02/20/2002","98","PM2.5","Azusa","06-037-0002","AQS","33","30","16","98","79"
"02/21/2002","96","NO2","Burbank","06-037-1002","AQS","42","33","16","63","96"
"02/22/2002","70","NO2","Burbank","06-037-1002","AQS","41","43","20","60","70"
"02/23/2002","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","49","41","38","61","56"
"02/24/2002","74","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","47","15","74","65"
"02/25/2002","119","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","44","46","55","119","102"
"02/26/2002","82","NO2","Los Angeles-North Main Street","06-037-1103","AQS","53","44","22","70","82"
"02/27/2002","99","NO2","SB25 trailer at Hollenbeck School","06-037-0030","AQS","34","44","20","84","99"
"02/28/2002","112","PM2.5","Burbank","06-037-1002","AQS","27","47","39","112","71"
"03/01/2002","81","PM10","Lancaster-Division Street","06-037-9033","AQS","18","48","81","69","66"
"03/02/2002","64","NO2","Hawthorne","06-037-5001","AQS","31","45","21","61","64"
