"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2000","160","PM2.5","Lynwood","06-037-1301","AQS","45","32","53","160","43"
"01/02/2000","48","CO","Lynwood","06-037-1301","AQS","48","37",".","42","43"
"01/03/2000","71","NO2","Burbank","06-037-1002","AQS","57","24",".",".","71"
"01/04/2000","85","PM2.5","","06-037-1601","AQS","61","27",".","85","68"
"01/05/2000","109","NO2","Burbank","06-037-1002","AQS","86","38",".","90","109"
"01/06/2000","102","NO2","Los Angeles-North Main Street","06-037-1103","AQS","100","33",".","79","102"
"01/07/2000","105","NO2","Burbank","06-037-1002","AQS","67","19","58","102","105"
"01/08/2000","136","PM2.5","Long Beach (North)","06-037-4002","AQS","86","30",".","136","83"
"01/09/2000","158","PM2.5","Long Beach (North)","06-037-4002","AQS","75","25",".","158","96"
"01/10/2000","160","PM2.5","","06-037-1601","AQS","68","22",".","160","101"
"01/11/2000","154","PM2.5","Azusa","06-037-0002","AQS","55","13",".","154","103"
"01/12/2000","155","PM2.5","Azusa","06-037-0002","AQS","33","19",".","155","95"
"01/13/2000","124","PM2.5","Lynwood","06-037-1301","AQS","65","27","56","124","97"
"01/14/2000","106","NO2","Long Beach (North)","06-037-4002","AQS","87","23",".","62","106"
"01/15/2000","111","CO","Lynwood","06-037-1301","AQS","111","21",".","91","82"
"01/16/2000","109","PM2.5","Reseda","06-037-1201","AQS","39","24",".","109","71"
"01/17/2000","135","PM2.5","Long Beach (North)","06-037-4002","AQS","108","22",".","135","84"
"01/18/2000","100","CO","Lynwood","06-037-1301","AQS","100","20",".","67","72"
"01/19/2000","81","NO2","Pomona","06-037-1701","AQS","63","18","29","69","81"
"01/20/2000","68","PM2.5","Azusa","06-037-0002","AQS","28","18",".","68","62"
"01/21/2000","66","PM2.5","Azusa","06-037-0002","AQS","28","28",".","66","52"
"01/22/2000","94","PM2.5","Reseda","06-037-1201","AQS","28","24",".","94","54"
"01/23/2000","144","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","35","15",".","144","77"
"01/24/2000","113","PM2.5","Long Beach (North)","06-037-4002","AQS","51","15",".","113","104"
"01/25/2000","61","PM2.5","Lynwood","06-037-1301","AQS","33","21","16","61","42"
"01/26/2000","53","PM2.5","Azusa","06-037-0002","AQS","38","27",".","53","44"
"01/27/2000","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","45","24",".","82","74"
"01/28/2000","129","PM2.5","Lynwood","06-037-1301","AQS","59","26",".","129","90"
"01/29/2000","120","PM2.5","Long Beach (North)","06-037-4002","AQS","44","40",".","120","81"
"01/30/2000","97","PM2.5","Azusa","06-037-0002","AQS","20","30",".","97","42"
"01/31/2000","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","34","36","26","62","47"
"02/01/2000","79","PM2.5","Long Beach (North)","06-037-4002","AQS","66","29","14","79","65"
"02/02/2000","67","CO","Lynwood","06-037-1301","AQS","67","33","16","58","63"
"02/03/2000","79","NO2","Hawthorne","06-037-5001","AQS","57","35","21","70","79"
"02/04/2000","62","NO2","Pomona","06-037-1701","AQS","35","22","16","61","62"
"02/05/2000","80","PM2.5","Azusa","06-037-0002","AQS","30","51","16","80","56"
"02/06/2000","97","PM2.5","Lynwood","06-037-1301","AQS","36","36","35","97","74"
"02/07/2000","102","PM2.5","Long Beach (North)","06-037-4002","AQS","53","31","20","102","95"
"02/08/2000","102","NO2","Azusa","06-037-0002","AQS","53","19","23",".","102"
"02/09/2000","89","PM2.5","","06-037-1601","AQS","33","34","17","89","77"
"02/10/2000","70","NO2","Los Angeles-North Main Street","06-037-1103","AQS","17","35","9","67","70"
"02/11/2000","52","PM2.5","Long Beach (North)","06-037-4002","AQS","33","34","9","52","49"
"02/12/2000","40","Ozone","Hawthorne","06-037-5001","AQS","19","40","15","36","37"
"02/13/2000","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","31","5","55","35"
"02/14/2000","58","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","22","5","58","32"
"02/15/2000","74","PM2.5","","06-037-1601","AQS","32","30","12","74","49"
"02/16/2000","57","PM2.5","Azusa","06-037-0002","AQS","30","34","6","57","43"
"02/17/2000","60","NO2","Los Angeles-North Main Street","06-037-1103","AQS","34","38","6","42","60"
"02/18/2000","93","PM2.5","","06-037-1601","AQS","38","34","36","93","62"
"02/19/2000","62","NO2","Burbank","06-037-1002","AQS","36","41","10","37","62"
"02/20/2000","45","NO2","Los Angeles-North Main Street","06-037-1103","AQS","14","42","10","25","45"
"02/21/2000","70","PM2.5","","06-037-1601","AQS","18","41","6","70","43"
"02/22/2000","62","PM2.5","Long Beach (North)","06-037-4002","AQS","43","35","10","62","46"
"02/23/2000","45","CO","Lynwood","06-037-1301","AQS","45","35","4","39","43"
"02/24/2000","64","NO2","Lynwood","06-037-1301","AQS","40","37","18","59","64"
"02/25/2000","57","PM2.5","Azusa","06-037-0002","AQS","33","28","8","57","47"
"02/26/2000","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","57","33","13","93","62"
"02/27/2000","84","PM2.5","Azusa","06-037-0002","AQS","39","37","8","84","43"
"02/28/2000","53","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","40","35","6","53","47"
"02/29/2000","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","38","34","13","64","61"
"03/01/2000","61","PM2.5","Lynwood","06-037-1301","AQS","33","35","26","61","57"
"03/02/2000","78","NO2","Lynwood","06-037-1301","AQS","54","36","17","73","78"
"03/03/2000","65","PM2.5","Azusa","06-037-0002","AQS","20","31","8","65","47"
"03/04/2000","61","PM2.5","Lynwood","06-037-1301","AQS","24","44","6","61","45"
"03/05/2000","40","NO2","Burbank","06-037-1002","AQS","14","39","4","34","40"
"03/06/2000","48","NO2","Hawthorne","06-037-5001","AQS","30","35","10","47","48"
"03/07/2000","66","PM2.5","Reseda","06-037-1201","AQS","36","31","26","66","47"
"03/08/2000","41","NO2","Lynwood","06-037-1301","AQS","19","37","6","39","41"
"03/09/2000","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","34","40","6","55","48"
"03/10/2000","70","PM2.5","Lynwood","06-037-1301","AQS","43","38","10","70","67"
"03/11/2000","60","PM2.5","Long Beach (North)","06-037-4002","AQS","55","49","11","60","57"
"03/12/2000","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","48","54","11","76","76"
"03/13/2000","101","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","44","57","101","67"
"03/14/2000","121","PM2.5","Long Beach (North)","06-037-4002","AQS","48","84","16","121","105"
"03/15/2000","115","Ozone","Hawthorne","06-037-5001","AQS","34","115","16",".","89"
"03/16/2000","147","PM2.5","Pasadena","06-037-2005","AQS","19","58","27","147","89"
"03/17/2000","89","NO2","Glendora","06-037-0016","AQS","41","44","26","88","89"
"03/18/2000","103","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","48","84","16","103","101"
"03/19/2000","122","Ozone","Burbank","06-037-1002","AQS","47","122","48","91","95"
"03/20/2000","104","PM10","Lancaster-Ponderosa St.","06-037-9002","AQS","16","74","104","55","46"
"03/21/2000","67","Ozone","Burbank","06-037-1002","AQS","25","67","26","53","58"
"03/22/2000","67","NO2","Pomona","06-037-1701","AQS","25","50","19","63","67"
"03/23/2000","73","NO2","Pomona","06-037-1701","AQS","27","47","24","64","73"
"03/24/2000","84","NO2","Los Angeles-North Main Street","06-037-1103","AQS","23","43","21","74","84"
"03/25/2000","78","PM2.5","Azusa","06-037-0002","AQS","20","61","44","78","50"
"03/26/2000","90","Ozone","Burbank","06-037-1002","AQS","25","90","19","68","67"
"03/27/2000","68","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","45","23","68","54"
"03/28/2000","63","PM2.5","Burbank","06-037-1002","AQS","20","45","21","63","46"
"03/29/2000","65","PM2.5","Azusa","06-037-0002","AQS","20","48","21","65","52"
"03/30/2000","79","PM2.5","Azusa","06-037-0002","AQS","26","49","32","79","63"
"03/31/2000","90","NO2","Lynwood","06-037-1301","AQS","53","74","68","65","90"
"04/01/2000","105","Ozone","Burbank","06-037-1002","AQS","20","105","26","52","74"
"04/02/2000","108","Ozone","Burbank","06-037-1002","AQS","20","108","24","60","74"
"04/03/2000","90","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","84","30","90","74"
"04/04/2000","103","NO2","Azusa","06-037-0002","AQS","31","67","26","99","103"
"04/05/2000","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","46","29","82","58"
"04/06/2000","108","PM2.5","Burbank","06-037-1002","AQS","16","50","58","108","51"
"04/07/2000","127","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","51","27","127","81"
"04/08/2000","119","Ozone","Burbank","06-037-1002","AQS","27","119","26","94","99"
"04/09/2000","61","PM2.5","Burbank","06-037-1002","AQS","17","61","26","61","47"
"04/10/2000","70","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","42","15","70","64"
"04/11/2000","157","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","50","19","157","102"
"04/12/2000","105","NO2","Los Angeles-North Main Street","06-037-1103","AQS","31","90","60","104","105"
"04/13/2000","104","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","43","24","104","97"
"04/14/2000","85","NO2","Pasadena","06-037-2005","AQS","15","39","7","38","85"
"04/15/2000","85","NO2","Pasadena","06-037-2005","AQS","16","43","12","43","85"
"04/16/2000","85","NO2","Pasadena","06-037-2005","AQS","15","48","9","41","85"
"04/17/2000","85","NO2","Pasadena","06-037-2005","AQS","19","36","10","37","85"
"04/18/2000","85","NO2","Pasadena","06-037-2005","AQS","18","58","16","32","85"
"04/19/2000","60","NO2","Pomona","06-037-1701","AQS","24","45","11","56","60"
"04/20/2000","93","Ozone","Burbank","06-037-1002","AQS","28","93","16","67","78"
"04/21/2000","67","PM2.5","Burbank","06-037-1002","AQS","18","46","24","67","57"
"04/22/2000","65","PM2.5","Azusa","06-037-0002","AQS","17","61","19","65","44"
"04/23/2000","97","Ozone","Burbank","06-037-1002","AQS","19","97","22","68","42"
"04/24/2000","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","26","71","52","78","77"
"04/25/2000","126","Ozone","Burbank","06-037-1002","AQS","26","126","27","75","101"
"04/26/2000","187","Ozone","Pasadena","06-037-2005","AQS","28","187","31","92","102"
"04/27/2000","126","Ozone","","06-037-6002","AQS","23","126","42","107","101"
"04/28/2000","78","PM2.5","Azusa","06-037-0002","AQS","17","50","65","78","49"
"04/29/2000","90","Ozone","Burbank","06-037-1002","AQS","20","90","21","56","72"
"04/30/2000","140","Ozone","Burbank","06-037-1002","AQS","27","140","35","66","80"
"05/01/2000","119","Ozone","Burbank","06-037-1002","AQS","22","119","26","74","89"
"05/02/2000","112","Ozone","Glendora","06-037-0016","AQS","22","112","28","72","84"
"05/03/2000","105","Ozone","Pasadena","06-037-2005","AQS","19","105","21","76","71"
"05/04/2000","143","Ozone","Lancaster-Ponderosa St.","06-037-9002","AQS","15","143","28","102","58"
"05/05/2000","106","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","105","25","106","61"
"05/06/2000","129","Ozone","Burbank","06-037-1002","AQS","17","129","48","77","52"
"05/07/2000","87","Ozone","Burbank","06-037-1002","AQS","14","87","21","60","54"
"05/08/2000","58","PM2.5","Long Beach (North)","06-037-4002","AQS","13","38","25","58","39"
"05/09/2000","84","Ozone","Lancaster-Ponderosa St.","06-037-9002","AQS","14","84","37","69","61"
"05/10/2000","65","PM2.5","Azusa","06-037-0002","AQS","14","58","55","65","49"
