"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2008","137","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","41","31","137","40"
"01/02/2008","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","40","35","32","59","52"
"01/03/2008","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","47","25","34","65","57"
"01/04/2008","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","32","25","61","42"
"01/05/2008","57","PM2.5","Burbank","06-037-1002","AQS","13","36","16","57","42"
"01/06/2008","46","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","36","14","46","29"
"01/07/2008","54","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","33","23","54","39"
"01/08/2008","92","PM2.5","Burbank","06-037-1002","AQS","25","24","24","92","45"
"01/09/2008","100","PM2.5","Burbank","06-037-1002","AQS","28","32","30","100","38"
"01/10/2008","126","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","31","39","126","61"
"01/11/2008","127","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","47","35","42","127","82"
"01/12/2008","109","PM2.5","Long Beach (North)","06-037-4002","AQS","38","40","36","109","67"
"01/13/2008","77","PM2.5","Lynwood","06-037-1301","AQS","39","40","37","77","53"
"01/14/2008","81","NO2","Lynwood","06-037-1301","AQS","44","38","31","69","81"
"01/15/2008","76","PM2.5","Burbank","06-037-1002","AQS","36","36","56","76","66"
"01/16/2008","105","PM2.5","Burbank","06-037-1002","AQS","23","43","37","105","51"
"01/17/2008","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","38","35","59","55"
"01/18/2008","69","PM2.5","Burbank","06-037-1002","AQS","34","40","32","69","57"
"01/19/2008","73","PM2.5","Burbank","06-037-1002","AQS","30","36","36","73","55"
"01/20/2008","74","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","36","39","27","74","43"
"01/21/2008","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","37","15","55","46"
"01/22/2008","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","31","18","64","41"
"01/23/2008","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","32","10","65","56"
"01/24/2008","54","PM2.5","Burbank","06-037-1002","AQS","9","33","7","54","36"
"01/25/2008","62","PM2.5","Burbank","06-037-1002","AQS","10","34","17","62","38"
"01/26/2008","60","PM2.5","Burbank","06-037-1002","AQS","18","33","12","60","37"
"01/27/2008","50","PM2.5","Burbank","06-037-1002","AQS","6","44","13","50","36"
"01/28/2008","50","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","37","12","50","40"
"01/29/2008","62","PM2.5","Burbank","06-037-1002","AQS","16","33","22","62","42"
"01/30/2008","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","23","37","20","63","43"
"01/31/2008","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","34","31","61","58"
"02/01/2008","69","PM2.5","Burbank","06-037-1002","AQS","27","31","30","69","49"
"02/02/2008","65","PM2.5","Long Beach (North)","06-037-4002","AQS","20","33","22","65","40"
"02/03/2008","53","PM2.5","Long Beach (North)","06-037-4002","AQS","17","38","18","53","38"
"02/04/2008","40","NO2","Pomona","06-037-1701","AQS","13","35","11","32","40"
"02/05/2008","55","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","37","24","55","54"
"02/06/2008","75","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","24","33","33","75","55"
"02/07/2008","77","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","27","33","31","77","71"
"02/08/2008","95","PM2.5","Long Beach (South)","06-037-4004","AQS","36","38","41","95","85"
"02/09/2008","74","PM2.5","Long Beach (South)","06-037-4004","AQS","41","38","27","74","56"
"02/10/2008","84","PM2.5","Long Beach (South)","06-037-4004","AQS","36","40","27","84","62"
"02/11/2008","91","NO2","Azusa","06-037-0002","AQS","31","37","37","89","91"
"02/12/2008","95","PM2.5","Lynwood","06-037-1301","AQS","49","39","55","95","77"
"02/13/2008","95","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","35","32","95","68"
"02/14/2008","65","PM2.5","Long Beach (South)","06-037-4004","AQS","13","40","34","65","44"
"02/15/2008","52","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","41","23","52","49"
"02/16/2008","71","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","39","30","71","47"
"02/17/2008","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","49","31","93","46"
"02/18/2008","103","PM2.5","Azusa","06-037-0002","AQS","19","45","51","103","60"
