"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2011","99","PM2.5","Burbank","06-037-1002","AQS","16","35","35","99","40"
"01/02/2011","68","PM2.5","Burbank","06-037-1002","AQS","15","33","17","68","41"
"01/03/2011","54","PM2.5","Burbank","06-037-1002","AQS","9","36","15","54","37"
"01/04/2011","57","PM2.5","Burbank","06-037-1002","AQS","13","36","20","57","52"
"01/05/2011","63","PM2.5","Burbank","06-037-1002","AQS","13","38","23","63","51"
"01/06/2011","60","PM2.5","Long Beach (North)","06-037-4002","AQS","16","37","31","60","60"
"01/07/2011","83","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","25","32","83","47"
"01/08/2011","94","PM2.5","Reseda","06-037-1201","AQS","16","41","30","94","32"
"01/09/2011","101","NO2","Pasadena","06-037-2005","AQS","15","42","33","88","101"
"01/10/2011","85","PM2.5","Long Beach (North)","06-037-4002","AQS","39","38","42","85","56"
"01/11/2011","52","PM2.5","Burbank","06-037-1002","AQS","13","31","24","52","48"
"01/12/2011","56","PM2.5","Reseda","06-037-1201","AQS","16","35","27","56","45"
"01/13/2011","54","PM2.5","Long Beach (North)","06-037-4002","AQS","17","41","29","54","52"
"01/14/2011","68","NO2","LAX Hastings","06-037-5005","AQS","30","44","36","62","68"
"01/15/2011","85","PM2.5","Compton","06-037-1302","AQS","35","43","33","85","62"
"01/16/2011","77","PM2.5","Long Beach (North)","06-037-4002","AQS","43","36","37","77","70"
"01/17/2011","97","NO2","LAX Hastings","06-037-5005","AQS","42","31","48","89","97"
"01/18/2011","94","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","41","38","46","94","80"
"01/19/2011","118","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","40","58","118","73"
"01/20/2011","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","43","42","82","66"
"01/21/2011","63","NO2","Long Beach (Hudson)","06-037-4006","AQS","24","41","32","62","63"
"01/22/2011","84","PM2.5","Reseda","06-037-1201","AQS","30","34","39","84","48"
"01/23/2011","74","PM2.5","Burbank","06-037-1002","AQS","19","45","49","74","54"
"01/24/2011","68","PM2.5","Compton","06-037-1302","AQS","32","42","31","68","55"
"01/25/2011","88","NO2","Long Beach (Hudson)","06-037-4006","AQS","33","34","49","86","88"
"01/26/2011","71","PM2.5","Long Beach (North)","06-037-4002","AQS","34","42","44","71","69"
"01/27/2011","71","NO2","Long Beach (Hudson)","06-037-4006","AQS","32","39","38","60","71"
"01/28/2011","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","27","31","35","65","53"
"01/29/2011","78","PM2.5","Burbank","06-037-1002","AQS","32","44","33","78","51"
"01/30/2011","60","PM2.5","Glendora","06-037-0016","AQS","6","39","17","60","27"
"01/31/2011","56","PM2.5","Glendora","06-037-0016","AQS","20","39","28","56","44"
"02/01/2011","70","PM2.5","Burbank","06-037-1002","AQS","14","43","28","70","45"
"02/02/2011","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","43","43","65","53"
"02/03/2011","58","PM2.5","Long Beach (North)","06-037-4002","AQS","25","40","35","58","56"
"02/04/2011","73","PM2.5","Burbank","06-037-1002","AQS","17","36","43","73","47"
"02/05/2011","98","PM2.5","Long Beach (North)","06-037-4002","AQS","26","36","53","98","60"
"02/06/2011","88","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","42","88","61"
"02/07/2011","73","PM2.5","Long Beach (North)","06-037-4002","AQS","26","38","36","73","58"
"02/08/2011","77","PM2.5","Burbank","06-037-1002","AQS","15","42","39","77","44"
"02/09/2011","62","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","41","52","62","47"
"02/10/2011","63","NO2","LAX Hastings","06-037-5005","AQS","22","39","29","57","63"
"02/11/2011","63","NO2","Long Beach (Hudson)","06-037-4006","AQS","17","42","38","61","63"
"02/12/2011","58","PM2.5","Reseda","06-037-1201","AQS","19","44","34","58","49"
"02/13/2011","66","PM2.5","Burbank","06-037-1002","AQS","26","48","36","66","44"
"02/14/2011","80","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","48","28","80","42"
"02/15/2011","69","PM2.5","Burbank","06-037-1002","AQS","8","30","20","69","41"
"02/16/2011","52","PM2.5","Reseda","06-037-1201","AQS","8","44","12","52","33"
"02/17/2011","59","PM2.5","Reseda","06-037-1201","AQS","11","43","21","59","45"
"02/18/2011","60","PM2.5","Reseda","06-037-1201","AQS","9","45","22","60","41"
"02/19/2011","52","PM2.5","Reseda","06-037-1201","AQS","6","45","13","52","35"
"02/20/2011","63","PM2.5","Reseda","06-037-1201","AQS","10","44","16","63","41"
"02/21/2011","71","PM2.5","Reseda","06-037-1201","AQS","24","43","22","71","43"
"02/22/2011","71","PM2.5","Reseda","06-037-1201","AQS","15","48","22","71","41"
"02/23/2011","69","PM2.5","Reseda","06-037-1201","AQS","16","45","22","69","43"
"02/24/2011","66","PM2.5","Reseda","06-037-1201","AQS","17","43","22","66","40"
"02/25/2011","59","PM2.5","Reseda","06-037-1201","AQS","8","43","12","59","43"
"02/26/2011","43","Ozone","Reseda","06-037-1201","AQS","6","43","12","39","33"
"02/27/2011","58","PM2.5","Reseda","06-037-1201","AQS","10","50","12","58","41"
"02/28/2011","66","PM2.5","Reseda","06-037-1201","AQS","18","44","23","66","49"
"03/01/2011","67","PM2.5","Glendora","06-037-0016","AQS","22","40","26","67","47"
"03/02/2011","66","PM2.5","Burbank","06-037-1002","AQS","14","44","22","66","47"
"03/03/2011","68","PM2.5","Glendora","06-037-0016","AQS","13","40","22","68","37"
"03/04/2011","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","44","31","82","52"
"03/05/2011","58","PM2.5","Reseda","06-037-1201","AQS","19","51","19","58","47"
"03/06/2011","58","PM2.5","Burbank","06-037-1002","AQS","15","49","17","58","38"
"03/07/2011","77","Ozone","LAX Hastings","06-037-5005","AQS","5","77","27","56","31"
"03/08/2011","54","PM2.5","Reseda","06-037-1201","AQS","11","46","25","54","48"
"03/09/2011","54","PM2.5","Reseda","06-037-1201","AQS","14","46","25","54","51"
"03/10/2011","137","PM2.5","Lancaster-Division Street","06-037-9033","AQS","19","54","30","137","64"
"03/11/2011","67","PM2.5","Burbank","06-037-1002","AQS","14","46","27","67","43"
"03/12/2011","73","PM2.5","Reseda","06-037-1201","AQS","9","50","31","73","34"
"03/13/2011","78","PM2.5","Reseda","06-037-1201","AQS","14","71","38","78","35"
"03/14/2011","71","PM2.5","Burbank","06-037-1002","AQS","18","41","34","71","56"
"03/15/2011","62","PM2.5","Glendora","06-037-0016","AQS","11","46","32","62","44"
"03/16/2011","69","PM2.5","Reseda","06-037-1201","AQS","11","46","28","69","38"
"03/17/2011","67","PM2.5","Glendora","06-037-0016","AQS","14","51","31","67","48"
