"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","101","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","40","38","101","42"
"01/02/2016","83","PM2.5","Reseda","06-037-1201","AQS","24","37","21","83","42"
"01/03/2016","100","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","34","40","23","100","41"
"01/04/2016","68","PM2.5","Reseda","06-037-1201","AQS","13","38","20","68","48"
"01/05/2016","58","PM2.5","Reseda","06-037-1201","AQS","13","40","13","58","40"
"01/06/2016","66","PM2.5","Reseda","06-037-1201","AQS","13","43","9","66","42"
"01/07/2016","62","PM2.5","Reseda","06-037-1201","AQS","10","41","14","62","45"
"01/08/2016","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","40","12","64","40"
"01/09/2016","78","PM2.5","Reseda","06-037-1201","AQS","24","33","17","78","35"
"01/10/2016","78","PM2.5","Reseda","06-037-1201","AQS","10","37","19","78","29"
"01/11/2016","76","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","37","13","76","53"
"01/12/2016","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","35","15","65","52"
"01/13/2016","75","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","28","36","41","75","58"
"01/14/2016","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","39","32","78","41"
"01/15/2016","74","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","41","31","74","35"
"01/16/2016","83","PM2.5","Reseda","06-037-1201","AQS","14","37","31","83","32"
"01/17/2016","100","PM2.5","Long Beach (South)","06-037-4004","AQS","22","35","31","100","37"
"01/18/2016","75","PM2.5","Glendora","06-037-0016","AQS","11","33","33","75","31"
"01/19/2016","69","PM2.5","Glendora","06-037-0016","AQS","14","27","25","69","38"
"01/20/2016","76","PM2.5","Reseda","06-037-1201","AQS","9","29","11","76","38"
"01/21/2016","59","PM2.5","Long Beach (South)","06-037-4004","AQS","15","33","14","59","45"
"01/22/2016","71","PM2.5","Long Beach (South)","06-037-4004","AQS","22","25","19","71","50"
"01/23/2016","70","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","39","24","70","38"
"01/24/2016","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","41","16","67","33"
"01/25/2016","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","39","40","65","53"
"01/26/2016","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","27","42","13","69","68"
"01/27/2016","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","33","19","62","62"
"01/28/2016","75","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","39","21","75","61"
"01/29/2016","76","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","37","32","76","52"
"01/30/2016","70","PM2.5","Reseda","06-037-1201","AQS","17","36","27","70","32"
"01/31/2016","40","Ozone","LAX Hastings","06-037-5005","AQS","6","40","22","39","18"
"02/01/2016","47","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","38","10","31","47"
"02/02/2016","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","37","9","54","52"
"02/03/2016","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","38","19","57","56"
"02/04/2016","63","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","40","15","63","53"
"02/05/2016","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","42","14","66","66"
"02/06/2016","60","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","28","43","37","60","53"
"02/07/2016","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","30","48","13","69","55"
"02/08/2016","87","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","44","44","15","80","87"
"02/09/2016","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","40","17","56","62"
"02/10/2016","72","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","38","23","72","68"
"02/11/2016","86","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","33","41","22","86","77"
