"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2014","164","PM2.5","Burbank","06-037-1002","AQS","34","37","57","164","73"
"01/02/2014","111","PM2.5","Long Beach (South)","06-037-4004","AQS","28","34","31","111","62"
"01/03/2014","86","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","23","33","86","67"
"01/04/2014","118","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","27","34","35","118","57"
"01/05/2014","97","PM2.5","Long Beach (South)","06-037-4004","AQS","25","41","46","97","57"
"01/06/2014","62","PM2.5","Long Beach (South)","06-037-4004","AQS","25","38","55","62","61"
"01/07/2014","68","PM2.5","Burbank","06-037-1002","AQS","25","29","38","68","56"
"01/08/2014","93","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","39","40","93","55"
"01/09/2014","122","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","40","44","122","47"
"01/10/2014","142","PM2.5","Long Beach (South)","06-037-4004","AQS","24","35","43","142","64"
"01/11/2014","114","PM2.5","Long Beach (South)","06-037-4004","AQS","23","35","43","114","70"
"01/12/2014","115","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","39","37","115","53"
"01/13/2014","87","PM2.5","Long Beach (South)","06-037-4004","AQS","30","40","28","87","68"
"01/14/2014","107","NO2","Long Beach (Hudson)","06-037-4006","AQS","33","45","21","69","107"
"01/15/2014","85","NO2","Long Beach (Hudson)","06-037-4006","AQS","39","43","33","72","85"
"01/16/2014","98","NO2","Long Beach (Hudson)","06-037-4006","AQS","43","45","29","74","98"
"01/17/2014","94","PM2.5","Azusa","06-037-0002","AQS","39","40","71","94","72"
"01/18/2014","82","PM2.5","Long Beach (South)","06-037-4004","AQS","28","38","34","82","63"
"01/19/2014","96","PM2.5","Long Beach (South)","06-037-4004","AQS","35","35","29","96","57"
"01/20/2014","107","PM2.5","Long Beach (South)","06-037-4004","AQS","43","36","36","107","83"
"01/21/2014","93","PM2.5","Long Beach (South)","06-037-4004","AQS","32","35","40","93","85"
"01/22/2014","79","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","33","37","79","56"
"01/23/2014","96","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","37","53","96","68"
"01/24/2014","90","PM2.5","Long Beach (South)","06-037-4004","AQS","23","36","42","90","80"
"01/25/2014","75","PM2.5","Long Beach (South)","06-037-4004","AQS","17","42","26","75","61"
"01/26/2014","79","PM2.5","Long Beach (South)","06-037-4004","AQS","19","40","29","79","42"
"01/27/2014","78","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","44","35","78","41"
"01/28/2014","97","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","42","41","97","60"
"01/29/2014","125","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","48","59","125","74"
"01/30/2014","95","PM2.5","Burbank","06-037-1002","AQS","11","47","46","95","41"
"01/31/2014","56","PM2.5","Burbank","06-037-1002","AQS","7","39","17","56","34"
"02/01/2014","54","PM2.5","Long Beach (South)","06-037-4004","AQS","8","39","11","54","41"
"02/02/2014","57","PM2.5","Long Beach (South)","06-037-4004","AQS","15","37","14","57","39"
"02/03/2014","43","PM2.5","Long Beach (South)","06-037-4004","AQS","11","41","13","43","40"
"02/04/2014","56","PM2.5","Burbank","06-037-1002","AQS","13","37","21","56","40"
"02/05/2014","61","PM2.5","Burbank","06-037-1002","AQS","13","44","23","61","45"
"02/06/2014","68","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","34","22","68","42"
"02/07/2014","66","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","37","11","66","31"
"02/08/2014","57","PM2.5","Reseda","06-037-1201","AQS","13","34","19","57","31"
"02/09/2014","63","PM2.5","Reseda","06-037-1201","AQS","9","33","20","63","36"
"02/10/2014","63","PM2.5","Burbank","06-037-1002","AQS","16","36","32","63","37"
"02/11/2014","71","PM2.5","Long Beach (South)","06-037-4004","AQS","15","33","23","71","57"
"02/12/2014","86","PM2.5","Long Beach (South)","06-037-4004","AQS","23","39","27","86","71"
"02/13/2014","75","PM2.5","Long Beach (South)","06-037-4004","AQS","22","37","37","75","61"
"02/14/2014","93","PM2.5","Burbank","06-037-1002","AQS","26","36","40","93","87"
"02/15/2014","116","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","25","43","37","116","68"
"02/16/2014","96","PM2.5","Burbank","06-037-1002","AQS","22","46","44","96","51"
"02/17/2014","80","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","41","30","80","47"
"02/18/2014","95","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","44","47","95","42"
"02/19/2014","89","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","44","49","89","42"
"02/20/2014","90","PM2.5","Long Beach (South)","06-037-4004","AQS","14","43","38","90","56"
"02/21/2014","72","PM2.5","Long Beach (South)","06-037-4004","AQS","24","61","37","72","63"
"02/22/2014","86","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","51","44","86","50"
"02/23/2014","100","Ozone","Pomona","06-037-1701","AQS","15","100","31","92","47"
"02/24/2014","96","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","84","40","96","46"
"02/25/2014","92","PM2.5","Reseda","06-037-1201","AQS","8","44","36","92","39"
"02/26/2014","61","PM2.5","Burbank","06-037-1002","AQS","5","37","24","61","26"
"02/27/2014","52","PM2.5","Burbank","06-037-1002","AQS","8","38","11","52","25"
"02/28/2014","48","PM2.5","Burbank","06-037-1002","AQS","11","41","11","48","30"
"03/01/2014","54","PM2.5","Burbank","06-037-1002","AQS","13","38","11","54","34"
"03/02/2014","65","PM2.5","Reseda","06-037-1201","AQS","11","37","10","65","36"
"03/03/2014","64","PM2.5","Burbank","06-037-1002","AQS","16","36","19","64","38"
"03/04/2014","75","PM2.5","Burbank","06-037-1002","AQS","15","38","29","75","34"
"03/05/2014","82","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","49","34","82","45"
"03/06/2014","81","PM2.5","Burbank","06-037-1002","AQS","15","40","33","81","37"
"03/07/2014","69","PM2.5","Burbank","06-037-1002","AQS","13","44","34","69","50"
"03/08/2014","65","PM2.5","Long Beach (South)","06-037-4004","AQS","27","49","21","65","61"
"03/09/2014","61","Ozone","Glendora","06-037-0016","AQS","14","61","13","52","42"
"03/10/2014","58","Ozone","Santa Clarita","06-037-6012","AQS","22","58","22","55","49"
"03/11/2014","63","PM2.5","Burbank","06-037-1002","AQS","14","46","31","63","50"
"03/12/2014","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","50","30","64","42"
"03/13/2014","71","PM2.5","Burbank","06-037-1002","AQS","7","51","31","71","38"
"03/14/2014","77","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","47","31","77","42"
"03/15/2014","87","Ozone","Glendora","06-037-0016","AQS","10","87","28","70","45"
"03/16/2014","87","Ozone","Glendora","06-037-0016","AQS","20","87","21","69","47"
