"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","102","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","38","11","102","30"
"01/02/2020","75","PM2.5","Compton","06-037-1302","AQS","15","36","17","75","46"
"01/03/2020","88","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","33","22","88","53"
"01/04/2020","104","PM2.5","Compton","06-037-1302","AQS","35","35","40","104","46"
"01/05/2020","103","PM2.5","Compton","06-037-1302","AQS","25","40","14","103","43"
"01/06/2020","75","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","42","18","75","67"
"01/07/2020","54","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","13","32","25","54","49"
"01/08/2020","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","34","19","64","42"
"01/09/2020","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","35","17","56","49"
"01/10/2020","70","PM2.5","Compton","06-037-1302","AQS","17","31","26","70","46"
"01/11/2020","83","PM2.5","Compton","06-037-1302","AQS","24","33","16","83","33"
"01/12/2020","79","PM2.5","Compton","06-037-1302","AQS","15","39","17","79","33"
"01/13/2020","83","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","41","23","83","54"
"01/14/2020","87","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","37","31","87","50"
"01/15/2020","124","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","36","39","124","55"
"01/16/2020","92","PM2.5","Pico Rivera #2","06-037-1602","AQS","19","39","36","92","40"
"01/17/2020","52","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","11","38","6","52","40"
"01/18/2020","66","PM2.5","Long Beach (South)","06-037-4004","AQS","15","40","11","66","46"
"01/19/2020","63","PM2.5","Long Beach (South)","06-037-4004","AQS","14","37","16","63","42"
"01/20/2020","73","PM2.5","Compton","06-037-1302","AQS","16","34","22","73","37"
"01/21/2020","56","PM2.5","Glendora","06-037-0016","AQS","7","39","14","56","39"
"01/22/2020","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","36","24","64","51"
"01/23/2020","63","PM2.5","Long Beach (South)","06-037-4004","AQS","15","36","17","63","56"
"01/24/2020","72","PM2.5","Compton","06-037-1302","AQS","24","32","16","72","56"
"01/25/2020","99","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","42","21","99","46"
"01/26/2020","130","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","44","39","130","37"
"01/27/2020","80","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","39","25","80","58"
"01/28/2020","62","PM2.5","Long Beach (South)","06-037-4004","AQS","14","42","50","62","58"
"01/29/2020","54","PM2.5","Long Beach (South)","06-037-4004","AQS","11","43","35","54","54"
"01/30/2020","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","40","25","64","52"
"01/31/2020","71","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","36","21","71","62"
"02/01/2020","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","47","18","64","41"
