"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2022","106","PM2.5","Compton","06-037-1302","AQS","13","38","36","106","30"
"01/02/2022","56","PM2.5","Lancaster-Division Street","06-037-9033","AQS","14","35","18","56","35"
"01/03/2022","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","34","35","66","50"
"01/04/2022","75","PM2.5","Compton","06-037-1302","AQS","16","37","37","75","58"
"01/05/2022","95","PM2.5","Compton","06-037-1302","AQS","22","36","50","95","60"
"01/06/2022","104","PM2.5","Compton","06-037-1302","AQS","27","33","39","104","68"
"01/07/2022","98","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","20","41","37","98","48"
"01/08/2022","80","PM2.5","Compton","06-037-1302","AQS","13","43","24","80","48"
"01/09/2022","82","PM2.5","Compton","06-037-1302","AQS","17","37","31","82","43"
"01/10/2022","66","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","35","48","57","66"
"01/11/2022","78","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","40","53","58","78"
"01/12/2022","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","34","55","63","71"
"01/13/2022","81","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","27","56","81","69"
"01/14/2022","89","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","39","51","88","89"
"01/15/2022","77","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","35","37","77","60"
"01/16/2022","56","PM2.5","Long Beach (South)","06-037-4004","AQS","10","36","23","56","40"
"01/17/2022","66","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","31","19","66","42"
"01/18/2022","66","PM2.5","Reseda","06-037-1201","AQS","7","37","20","66","48"
"01/19/2022","77","PM2.5","Compton","06-037-1302","AQS","9","30","34","77","54"
"01/20/2022","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","38","33","69","65"
"01/21/2022","65","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","39","56","65","49"
"01/22/2022","57","PM2.5","Compton","06-037-1302","AQS","14","39","40","57","43"
"01/23/2022","80","PM2.5","Compton","06-037-1302","AQS","25","39","27","80","39"
"01/24/2022","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","33","30","66","46"
"01/25/2022","69","PM2.5","Compton","06-037-1302","AQS","10","40","34","69","62"
"01/26/2022","70","PM2.5","Compton","06-037-1302","AQS","15","39","38","70","65"
"01/27/2022","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","41","38","68","65"
"01/28/2022","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","44","45","61","71"
"01/29/2022","57","PM2.5","Compton","06-037-1302","AQS","11","37","36","57","54"
"01/30/2022","83","PM2.5","Compton","06-037-1302","AQS","23","39","38","83","41"
"01/31/2022","80","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","20","32","52","80","46"
"02/01/2022","79","PM2.5","Compton","06-037-1302","AQS","11","39","34","79","66"
"02/02/2022","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","39","48","70","61"
"02/03/2022","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","40","64","67","65"
"02/04/2022","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","39","47","68","71"
"02/05/2022","62","PM2.5","Compton","06-037-1302","AQS","18","41","31","62","48"
"02/06/2022","86","PM2.5","Compton","06-037-1302","AQS","24","46","39","86","44"
"02/07/2022","79","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","41","52","68","79"
"02/08/2022","69","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","44","51","61","69"
"02/09/2022","95","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","43","58","72","95"
"02/10/2022","74","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","42","64","74","71"
"02/11/2022","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","46","50","70","65"
"02/12/2022","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","46","37","70","57"
"02/13/2022","67","PM2.5","Compton","06-037-1302","AQS","20","51","31","67","48"
"02/14/2022","78","PM2.5","Compton","06-037-1302","AQS","28","47","42","78","58"
"02/15/2022","57","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","37","55","56","57"
"02/16/2022","55","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","39","28","55","44"
"02/17/2022","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","41","35","56","55"
"02/18/2022","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","43","44","61","60"
"02/19/2022","70","PM2.5","Compton","06-037-1302","AQS","20","47","38","70","57"
"02/20/2022","73","PM2.5","Compton","06-037-1302","AQS","13","58","30","73","33"
"02/21/2022","61","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","44","37","61","42"
"02/22/2022","67","PM10","Long Beach (Hudson)","06-037-4006","AQS","3","42","67","51","37"
"02/23/2022","47","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","39","21","43","47"
"02/24/2022","55","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","40","30","54","55"
"02/25/2022","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","41","37","61","52"
"02/26/2022","67","PM2.5","Compton","06-037-1302","AQS","14","44","30","67","55"
"02/27/2022","60","PM10","Long Beach (Hudson)","06-037-4006","AQS","16","46","60","59","42"
"02/28/2022","76","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","44","45","69","76"
"03/01/2022","85","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","46","46","69","85"
"03/02/2022","65","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","50","35","64","65"
"03/03/2022","74","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","11","64","36","74","55"
"03/04/2022","49","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","39","35","49","39"
"03/05/2022","87","PM10","Long Beach (Hudson)","06-037-4006","AQS","6","43","87","53","40"
"03/06/2022","56","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","42","19","56","38"
"03/07/2022","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","43","31","62","57"
"03/08/2022","60","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","44","40","60","56"
"03/09/2022","62","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","10","46","26","62","55"
"03/10/2022","62","PM2.5","Compton","06-037-1302","AQS","5","44","36","62","50"
"03/11/2022","63","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","48","45","63","60"
"03/12/2022","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","54","37","59","58"
"03/13/2022","64","Ozone","Pomona","06-037-1701","AQS","9","64","28","60","35"
"03/14/2022","61","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","58","32","61","54"
"03/15/2022","64","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","10","54","37","64","52"
"03/16/2022","56","PM2.5","Compton","06-037-1302","AQS","7","43","54","56","42"
"03/17/2022","58","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","47","44","58","53"
"03/18/2022","65","PM2.5","Long Beach (South)","06-037-4004","AQS","9","61","40","65","46"
"03/19/2022","62","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","46","28","62","46"
"03/20/2022","43","Ozone","Reseda","06-037-1201","AQS","3","43","26","37","27"
"03/21/2022","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","45","37","61","48"
"03/22/2022","67","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","51","47","60","67"
"03/23/2022","58","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","54","34","57","58"
"03/24/2022","74","Ozone","Glendora","06-037-0016","AQS","9","74","31","60","68"
"03/25/2022","74","Ozone","Lancaster-Division Street","06-037-9033","AQS","10","74","32","65","46"
"03/26/2022","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","7","49","28","69","34"
"03/27/2022","63","PM2.5","Compton","06-037-1302","AQS","3","50","24","63","11"
"03/28/2022","46","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","2","42","13","42","46"
"03/29/2022","51","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","43","25","51","49"
"03/30/2022","59","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","44","25","59","35"
"03/31/2022","59","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","45","21","59","45"
"04/01/2022","64","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","50","31","64","47"
"04/02/2022","66","PM2.5","Azusa","06-037-0002","AQS","6","50","25","66","37"
"04/03/2022","59","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","3","49","23","59","15"
"04/04/2022","67","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","54","31","67","47"
"04/05/2022","80","Ozone","Pomona","06-037-1701","AQS","8","80","40","69","40"
"04/06/2022","112","Ozone","Glendora","06-037-0016","AQS","8","112","45","69","67"
"04/07/2022","129","Ozone","Glendora","06-037-0016","AQS","11","129","44","63","74"
"04/08/2022","77","Ozone","Glendora","06-037-0016","AQS","14","77","51","59","67"
"04/09/2022","115","Ozone","Santa Clarita","06-037-6012","AQS","9","115","52","74","48"
"04/10/2022","73","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","3","58","42","73","12"
"04/11/2022","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","2","44","53","63","26"
"04/12/2022","69","PM10","Long Beach (Hudson)","06-037-4006","AQS","3","47","69","49","33"
"04/13/2022","58","Ozone","Santa Clarita","06-037-6012","AQS","6","58","33","52","51"
"04/14/2022","61","Ozone","Pomona","06-037-1701","AQS","6","61","36","57","42"
"04/15/2022","56","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","6","51","27","56","31"
"04/16/2022","46","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","3","36","16","46","24"
"04/17/2022","61","Ozone","Pomona","06-037-1701","AQS","3","61","16","52","19"
"04/18/2022","74","Ozone","Glendora","06-037-0016","AQS","6","74","30","60","39"
"04/19/2022","54","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","44","30","54","42"
