"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","158","PM2.5","Reseda","06-037-1201","AQS","28","35","23","158","38"
"01/02/2015","105","PM2.5","Reseda","06-037-1201","AQS","20","35","21","105","40"
"01/03/2015","106","PM2.5","Reseda","06-037-1201","AQS","23","37","28","106","42"
"01/04/2015","107","PM2.5","Long Beach (South)","06-037-4004","AQS","25","40","26","107","45"
"01/05/2015","62","PM2.5","Long Beach (South)","06-037-4004","AQS","15","37","23","62","51"
"01/06/2015","63","PM10","Long Beach (Hudson)","06-037-4006","AQS","19","36","63","58","52"
"01/07/2015","64","PM2.5","Long Beach (South)","06-037-4004","AQS","22","33","20","64","56"
"01/08/2015","80","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","28","25","28","80","56"
"01/09/2015","105","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","25","39","105","62"
"01/10/2015","123","PM2.5","Reseda","06-037-1201","AQS","19","18","31","123","42"
"01/11/2015","79","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","35","22","79","28"
"01/12/2015","103","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","31","51","103","35"
"01/13/2015","114","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","38","33","114","41"
"01/14/2015","74","PM2.5","Long Beach (South)","06-037-4004","AQS","24","36","15","74","49"
"01/15/2015","55","PM2.5","Long Beach (South)","06-037-4004","AQS","18","35","15","55","44"
"01/16/2015","59","PM2.5","Long Beach (South)","06-037-4004","AQS","17","31","14","59","46"
"01/17/2015","82","PM2.5","Long Beach (South)","06-037-4004","AQS","30","39","12","82","63"
"01/18/2015","105","PM2.5","Compton","06-037-1302","AQS","23","35","37","105","50"
"01/19/2015","110","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","38","39","33","110","69"
"01/20/2015","153","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","20","31","55","153","56"
"01/21/2015","161","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","14","41","60","161","53"
"01/22/2015","85","PM2.5","Long Beach (South)","06-037-4004","AQS","23","38","16","85","52"
"01/23/2015","59","PM2.5","Long Beach (South)","06-037-4004","AQS","19","39","15","59","48"
"01/24/2015","75","PM2.5","Compton","06-037-1302","AQS","32","42","43","75","54"
"01/25/2015","86","NO2","LAX Hastings","06-037-5005","AQS","30","41","11","55","86"
"01/26/2015","56","PM2.5","Reseda","06-037-1201","AQS","18","31","13","56","45"
"01/27/2015","58","PM2.5","Long Beach (South)","06-037-4004","AQS","10","33","12","58","35"
"01/28/2015","61","PM2.5","Long Beach (South)","06-037-4004","AQS","14","38","12","61","41"
"01/29/2015","68","PM2.5","Long Beach (South)","06-037-4004","AQS","14","32","11","68","45"
"01/30/2015","81","PM2.5","Reseda","06-037-1201","AQS","14","29","22","81","36"
"01/31/2015","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","40","19","72","33"
"02/01/2015","76","PM2.5","Long Beach (South)","06-037-4004","AQS","19","38","14","76","41"
"02/02/2015","89","PM2.5","Long Beach (South)","06-037-4004","AQS","27","40","19","89","61"
"02/03/2015","120","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","41","34","120","72"
"02/04/2015","158","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","22","48","54","158","69"
"02/05/2015","149","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","49","61","149","72"
"02/06/2015","141","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","44","44","141","57"
"02/07/2015","98","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","15","30","31","98","45"
"02/08/2015","75","PM2.5","Reseda","06-037-1201","AQS","13","33","15","75","34"
"02/09/2015","55","PM2.5","Glendora","06-037-0016","AQS","10","40","19","55","36"
