"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","184","PM2.5","Compton","06-037-1302","AQS","42","40","14","184","34"
"01/02/2021","77","PM2.5","Compton","06-037-1302","AQS","19","33","12","77","31"
"01/03/2021","82","PM2.5","Compton","06-037-1302","AQS","18","35","17","82","27"
"01/04/2021","77","PM2.5","Pico Rivera #2","06-037-1602","AQS","18","32","31","77","46"
"01/05/2021","84","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","33","30","84","50"
"01/06/2021","90","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","34","21","90","68"
"01/07/2021","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","35","28","84","74"
"01/08/2021","88","PM2.5","Compton","06-037-1302","AQS","19","41","23","88","58"
"01/09/2021","96","PM2.5","Compton","06-037-1302","AQS","18","40","28","96","42"
"01/10/2021","71","PM2.5","Compton","06-037-1302","AQS","24","38","26","71","34"
"01/11/2021","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","36","28","69","64"
"01/12/2021","69","PM2.5","Long Beach (South)","06-037-4004","AQS","16","32","27","69","52"
"01/13/2021","77","PM2.5","Long Beach (South)","06-037-4004","AQS","25","35","34","77","73"
"01/14/2021","86","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","38","36","86","55"
"01/15/2021","82","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","38","40","28","82","51"
"01/16/2021","93","PM2.5","Compton","06-037-1302","AQS","39","43","44","93","55"
"01/17/2021","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","31","45","27","84","52"
"01/18/2021","74","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","38","25","74","51"
"01/19/2021","64","PM10","Lancaster-Division Street","06-037-9033","AQS","7","38","64","62","42"
"01/20/2021","51","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","37","28","51","43"
"01/21/2021","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","37","29","58","41"
"01/22/2021","53","PM2.5","Pico Rivera #2","06-037-1602","AQS","9","39","21","53","32"
"01/23/2021","57","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","5","32","8","57","25"
"01/24/2021","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","36","11","62","23"
"01/25/2021","42","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","40","8","38","42"
"01/26/2021","52","PM2.5","Compton","06-037-1302","AQS","8","38","9","52","48"
"01/27/2021","54","PM2.5","Reseda","06-037-1201","AQS","6","39","14","54","32"
"01/28/2021","54","PM2.5","Reseda","06-037-1201","AQS","11","36","31","54","36"
"01/29/2021","55","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","34","4","55","40"
"01/30/2021","70","PM2.5","Reseda","06-037-1201","AQS","13","38","14","70","34"
"01/31/2021","60","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","39","13","60","38"
"02/01/2021","61","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","30","16","58","61"
"02/02/2021","57","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","13","40","16","57","50"
"02/03/2021","59","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","37","26","59","41"
"02/04/2021","62","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","7","43","19","62","50"
"02/05/2021","69","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","42","17","69","56"
"02/06/2021","96","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","47","19","96","55"
"02/07/2021","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","48","24","84","38"
"02/08/2021","83","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","47","30","83","34"
"02/09/2021","83","PM2.5","Santa Clarita","06-037-6012","AQS","7","44","36","83","48"
"02/10/2021","74","PM2.5","Glendora","06-037-0016","AQS","8","43","35","74","47"
"02/11/2021","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","45","35","84","51"
"02/12/2021","65","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","6","39","18","65","34"
"02/13/2021","55","PM2.5","Glendora","06-037-0016","AQS","9","42","25","55","27"
"02/14/2021","43","Ozone","Reseda","06-037-1201","AQS","7","43","11","41","30"
"02/15/2021","55","PM2.5","Compton","06-037-1302","AQS","8","37","21","55","32"
"02/16/2021","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","42","21","57","30"
"02/17/2021","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","42","18","57","46"
"02/18/2021","61","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","44","17","61","44"
"02/19/2021","63","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","40","23","63","57"
"02/20/2021","63","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","43","21","63","36"
"02/21/2021","64","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","45","26","64","39"
"02/22/2021","60","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","44","22","57","60"
"02/23/2021","63","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","41","25","63","56"
"02/24/2021","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","51","30","61","49"
"02/25/2021","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","8","47","49","63","45"
"02/26/2021","66","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","46","36","66","44"
"02/27/2021","70","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","45","30","70","41"
"02/28/2021","62","PM2.5","Compton","06-037-1302","AQS","13","46","38","62","40"
"03/01/2021","64","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","45","19","49","64"
"03/02/2021","60","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","47","27","60","48"
"03/03/2021","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","45","24","57","44"
"03/04/2021","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","49","26","59","47"
"03/05/2021","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","64","31","68","50"
"03/06/2021","60","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","8","50","29","60","38"
"03/07/2021","56","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","6","46","21","56","19"
"03/08/2021","54","PM2.5","Pico Rivera #2","06-037-1602","AQS","6","44","17","54","36"
"03/09/2021","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","44","19","52","32"
"03/10/2021","43","PM2.5","Glendora","06-037-0016","AQS","5","43","7","43","31"
"03/11/2021","52","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","44","7","36","52"
"03/12/2021","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","8","43","8","58","44"
"03/13/2021","64","PM2.5","Compton","06-037-1302","AQS","11","44","17","64","34"
"03/14/2021","57","PM2.5","Glendora","06-037-0016","AQS","7","48","19","57","25"
"03/15/2021","43","PM2.5","Glendora","06-037-0016","AQS","6","42","7","43","26"
"03/16/2021","49","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","40","9","44","49"
"03/17/2021","58","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","48","25","58","51"
"03/18/2021","64","Ozone","Lancaster-Division Street","06-037-9033","AQS","9","64","27","61","42"
"03/19/2021","57","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","11","43","20","57","40"
"03/20/2021","54","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","6","44","13","54","29"
"03/21/2021","55","PM2.5","Compton","06-037-1302","AQS","9","46","15","55","26"
"03/22/2021","56","PM2.5","Long Beach (South)","06-037-4004","AQS","8","47","18","56","45"
"03/23/2021","55","PM2.5","Glendora","06-037-0016","AQS","5","43","51","55","42"
"03/24/2021","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","47","17","56","42"
"03/25/2021","55","PM2.5","Long Beach (South)","06-037-4004","AQS","6","42","20","55","29"
"03/26/2021","54","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","43","18","54","37"
"03/27/2021","62","PM2.5","Compton","06-037-1302","AQS","10","49","19","62","38"
"03/28/2021","77","Ozone","Pasadena","06-037-2005","AQS","15","77","19","65","43"
"03/29/2021","67","Ozone","Reseda","06-037-1201","AQS","11","67","34","61","55"
"03/30/2021","68","PM2.5","Glendora","06-037-0016","AQS","6","67","47","68","39"
"03/31/2021","74","Ozone","North Hollywood (NOHO)","06-037-4010","AQS","11","74","27","63","69"
"04/01/2021","80","Ozone","Reseda","06-037-1201","AQS","11","80","29","58","61"
"04/02/2021","93","Ozone","Santa Clarita","06-037-6012","AQS","8","93","40","64","43"
"04/03/2021","112","Ozone","Glendora","06-037-0016","AQS","7","112","37","74","30"
"04/04/2021","112","Ozone","Glendora","06-037-0016","AQS","9","112","30","67","28"
"04/05/2021","62","PM2.5","Glendora","06-037-0016","AQS","6","49","29","62","31"
"04/06/2021","66","PM2.5","Glendora","06-037-0016","AQS","6","51","33","66","36"
"04/07/2021","87","Ozone","Glendora","06-037-0016","AQS","9","87","32","65","53"
"04/08/2021","64","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","7","64","33","64","38"
"04/09/2021","80","Ozone","Santa Clarita","06-037-6012","AQS","7","80","43","69","31"
"04/10/2021","100","Ozone","Glendora","06-037-0016","AQS","7","100","42","71","32"
"04/11/2021","101","Ozone","Santa Clarita","06-037-6012","AQS","6","101","40","76","18"
"04/12/2021","71","Ozone","Santa Clarita","06-037-6012","AQS","6","71","38","70","33"
"04/13/2021","60","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","6","46","60","60","32"
"04/14/2021","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","51","30","63","51"
"04/15/2021","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","51","30","67","42"
"04/16/2021","75","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","7","71","38","75","44"
"04/17/2021","93","Ozone","Pomona","06-037-1701","AQS","6","93","36","76","28"
"04/18/2021","71","Ozone","Signal Hill (LBSH)","06-037-4009","AQS","11","71","22","58","32"
"04/19/2021","80","Ozone","Reseda","06-037-1201","AQS","9","80","29","64","45"
"04/20/2021","74","Ozone","Lancaster-Division Street","06-037-9033","AQS","6","74","42","72","31"
"04/21/2021","58","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","44","31","58","31"
"04/22/2021","55","PM2.5","Glendora","06-037-0016","AQS","6","44","25","55","51"
"04/23/2021","60","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","6","47","26","60","48"
"04/24/2021","59","PM2.5","Glendora","06-037-0016","AQS","6","47","23","59","31"
"04/25/2021","56","PM2.5","Glendora","06-037-0016","AQS","6","45","20","56","13"
"04/26/2021","42","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","5","40","10","42","39"
"04/27/2021","53","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","5","44","14","53","40"
"04/28/2021","61","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","7","49","27","61","42"
"04/29/2021","90","Ozone","North Hollywood (NOHO)","06-037-4010","AQS","8","90","19","67","54"
